date_prediction,y_true,y_pred,signal_filtered,trade_return,cumulative_return
2023-01-03,2,0,0,-0.01855062511822735,0.9814493748817726
2023-01-04,2,0,0,-0.010153236979514015,0.9714844867952022
2023-01-05,2,0,0,-0.029187757541394146,0.9431290331393981
2023-01-06,2,0,1,0.0,0.9431290331393981
2023-01-09,2,0,0,-0.023401265625312657,0.9210586201159587
2023-01-10,2,2,1,0.0,0.9210586201159587
2023-01-11,1,1,1,0.0,0.9210586201159587
2023-01-12,0,0,1,0.0,0.9210586201159587
2023-01-13,0,0,0,0.017561489970283155,0.937233781835168
2023-01-17,1,0,0,0.004600351146720199,0.9415453863381784
2023-01-18,2,2,2,0.02314919561530444,0.9633414046672083
2023-01-19,2,2,2,0.030290944908761535,0.9925219260843118
2023-01-20,2,2,2,0.01097763488034614,1.0034174693996032
2023-01-23,2,2,1,0.0,1.0034174693996032
2023-01-24,2,0,0,-0.013345973455864241,0.9900258864878456
2023-01-25,1,2,1,0.0,0.9900258864878456
2023-01-26,1,1,1,0.0,0.9900258864878456
2023-01-27,2,0,1,0.0,0.9900258864878456
2023-01-30,2,2,2,0.04031832218028478,1.0299420691460845
2023-01-31,2,0,1,0.0,1.0299420691460845
2023-02-01,1,0,0,0.001973650988805072,1.0319748153292667
2023-02-02,1,0,0,0.0037704955568525216,1.0358658717852494
2023-02-03,1,0,0,0.004501440179915956,1.0405287600415072
2023-02-06,1,0,0,0.007195208452006368,1.0480155813703136
2023-02-07,0,0,0,0.0176609123589097,1.0665244927036666
2023-02-08,1,0,0,-0.0047185131175803,1.0614920828946237
2023-02-09,2,0,0,-0.013384756293642044,1.0472842700574487
2023-02-10,2,0,0,-0.01396912260831761,1.0326546276832538
2023-02-13,0,0,0,0.011331119285934308,1.0443557604507048
2023-02-14,0,0,0,0.013790619863970248,1.0587580737458282
2023-02-15,0,0,0,0.01651798827093746,1.0762466271897222
2023-02-16,0,0,0,0.022753177852230223,1.1007346581110329
2023-02-17,0,0,0,0.021583254393880567,1.1244920942572043
2023-02-21,1,0,0,0.006829553710185087,1.1321718734116124
2023-02-22,1,0,0,0.0022074537993671266,1.1346710905151114
2023-02-23,0,0,0,0.01051017000068697,1.14659667657129
2023-02-24,1,0,0,0.0046977225168689015,1.151983069596586
2023-02-27,1,0,0,0.00022346533114711283,1.1522404978747092
2023-02-28,2,0,0,-0.019014392930052845,1.1303313442981997
2023-03-01,2,0,0,-0.024555923848245398,1.1025750138843282
2023-03-02,1,0,0,-0.0012608837223848253,1.1011847949966131
2023-03-03,0,0,0,0.01325621761612693,1.1157823402746583
2023-03-06,0,0,0,0.03213595823216137,1.151639074957908
2023-03-07,0,0,0,0.03130166683692455,1.1876872975986243
2023-03-08,0,0,0,0.034130675941867035,1.228223867873235
2023-03-09,1,0,0,-0.0002475475934080936,1.2279198240105766
2023-03-10,1,0,0,-0.007856826607552485,1.2182722708653493
2023-03-13,2,0,0,-0.027107501314015476,1.1852479536820382
2023-03-14,1,0,0,0.0006761802413094487,1.1860493949293704
2023-03-15,2,0,0,-0.015324052016940854,1.1678743123068116
2023-03-16,2,0,0,-0.010754312214176083,1.1553146273253478
2023-03-17,1,0,0,-0.005190693727938757,1.1493177429354942
2023-03-20,1,0,0,0.0007212570211195349,1.1501466964270837
2023-03-21,1,0,0,0.007964317107427068,1.1593068294374886
2023-03-22,2,0,0,-0.010302354068122637,1.147363240007031
2023-03-23,1,0,0,-0.005710723727038473,1.140810965528791
2023-03-24,2,0,0,-0.01430879163611827,1.1244873391268406
2023-03-27,2,2,2,0.018428534363845537,1.145209992697649
2023-03-28,2,2,2,0.034759670932371804,1.1850171151922833
2023-03-29,2,2,2,0.024008010711659842,1.2134670187873198
2023-03-30,2,0,1,0.0,1.2134670187873198
2023-03-31,1,1,1,0.0,1.2134670187873198
2023-04-03,1,0,1,0.0,1.2134670187873198
2023-04-04,1,0,0,-0.0010778719625759807,1.2121590567102583
2023-04-05,1,0,0,-0.004579032022784024,1.2066085415728744
2023-04-06,1,0,0,-0.0009549093198935516,1.2054563398310634
2023-04-10,2,0,0,-0.009031238588706471,1.1945695760177801
2023-04-11,1,0,0,-0.006984817427795647,1.1862257256244966
2023-04-12,2,0,1,0.0,1.1862257256244966
2023-04-13,1,0,1,0.0,1.1862257256244966
2023-04-14,1,0,1,0.0,1.1862257256244966
2023-04-17,1,2,2,-0.005186250654706364,1.180073661678347
2023-04-18,1,0,0,0.005138571616939552,1.1861375547021453
2023-04-19,1,1,1,0.0,1.1861375547021453
2023-04-20,0,1,1,0.0,1.1861375547021453
2023-04-21,0,0,0,0.01875641799980131,1.2083852464834008
2023-04-24,1,0,0,0.00040849046426752976,1.208878860333751
2023-04-25,2,0,0,-0.024032169050851825,1.1798268792002093
2023-04-26,2,0,0,-0.027583925804180797,1.1472826221025727
2023-04-27,1,0,0,0.0038134666131865867,1.15165774607785
2023-04-28,0,0,1,0.0,1.15165774607785
2023-05-01,0,0,0,0.025588644436056244,1.1811271066542661
2023-05-02,1,0,0,-0.0040465099740425985,1.1763476640365775
2023-05-03,2,0,0,-0.011579812305200757,1.1627257788813725
2023-05-04,2,0,0,-0.014269099332199442,1.1461347292464052
2023-05-05,1,0,0,-0.00033608624206708977,1.1457495291323503
2023-05-08,1,0,0,0.0018124171816204851,1.1478261052647833
2023-05-09,1,0,0,-0.001192025661268412,1.146457867092634
2023-05-10,1,0,0,0.0003287747405647491,1.1468347934804557
2023-05-11,1,0,0,0.00501624798599446,1.1525876012035206
2023-05-12,2,0,0,-0.008411558638313752,1.1428925430102037
2023-05-15,2,0,0,-0.014933714047323954,1.1258249125860704
2023-05-16,2,0,0,-0.019971308322665533,1.103340716139476
2023-05-17,2,0,0,-0.008141797483926863,1.0943575394728975
2023-05-18,0,0,0,0.012498595539269885,1.1080354717341196
2023-05-19,0,0,0,0.018306324565311716,1.1283195287095626
2023-05-22,0,0,0,0.009862568080660515,1.1394476568781995
2023-05-23,2,0,0,-0.014441915500177382,1.1229918501006895
2023-05-24,2,0,0,-0.021920946481803774,1.0983748058551304
2023-05-25,1,0,0,-0.0130659067039873,1.084023543115817
2023-05-26,1,0,0,0.006092122364463339,1.0906275471864377
2023-05-30,2,0,0,-0.018273625449253185,1.0706978278845152
2023-05-31,2,0,0,-0.022479373367170187,1.046629211648081
2023-06-01,2,1,1,0.0,1.046629211648081
2023-06-02,1,1,1,0.0,1.046629211648081
2023-06-05,1,2,2,0.004712476872908793,1.0515614276024834
2023-06-06,1,1,1,0.0,1.0515614276024834
2023-06-07,2,1,1,0.0,1.0515614276024834
2023-06-08,2,1,1,0.0,1.0515614276024834
2023-06-09,2,0,1,0.0,1.0515614276024834
2023-06-12,2,0,0,-0.020030206628780654,1.0304984349247501
2023-06-13,2,0,1,0.0,1.0304984349247501
2023-06-14,1,1,1,0.0,1.0304984349247501
2023-06-15,0,0,1,0.0,1.0304984349247501
2023-06-16,1,0,1,0.0,1.0304984349247501
2023-06-20,0,0,0,0.009200854732235302,1.0399799013262887
2023-06-21,0,0,0,0.008445427339629991,1.0487629760176154
2023-06-22,1,0,0,0.0007941733727162501,1.049595875647459
2023-06-23,1,0,0,-0.006561090037707543,1.0427093826041296
2023-06-26,2,0,0,-0.015620912843075846,1.026421310217813
2023-06-27,2,0,0,-0.016437410839586643,1.009549601447256
2023-06-28,2,0,0,-0.01798777729422838,0.9913900480489457
2023-06-29,2,0,0,-0.013454045348525847,0.9780518413844179
2023-06-30,0,0,0,0.0007999448783010756,0.9788342289456464
2023-07-03,0,0,0,0.00987523572478742,0.9885004476919751
2023-07-05,0,0,0,0.008385776922961207,0.9967897919345672
2023-07-06,1,0,0,-0.006272097555533321,0.9905378291171938
2023-07-07,2,0,0,-0.016642598276177843,0.9740527059498391
2023-07-10,2,0,0,-0.022793871184314602,0.9518502740436853
2023-07-11,2,0,0,-0.014903420782515385,0.9376644488876597
2023-07-12,2,0,0,-0.011321124701167728,0.9270490327339507
2023-07-13,2,0,0,-0.009964421827082414,0.9178115251174008
2023-07-14,2,0,0,-0.013383945118184479,0.9055275860363923
2023-07-17,1,1,1,0.0,0.9055275860363923
2023-07-18,1,1,1,0.0,0.9055275860363923
2023-07-19,1,0,1,0.0,0.9055275860363923
2023-07-20,1,0,0,-0.007186499923444782,0.8990200121086646
2023-07-21,1,0,0,-0.006703676818194735,0.8929932724943985
2023-07-24,1,0,0,0.003782951001956174,0.8963714222893214
2023-07-25,1,0,0,-0.0032337490985292314,0.8934727820105459
2023-07-26,1,0,0,-0.004863406347511907,0.8891274608111867
2023-07-27,2,0,0,-0.008665697581821953,0.8814225511241036
2023-07-28,0,0,0,0.015023218835244465,0.8946643549959604
2023-07-31,0,0,0,0.01897375984099066,0.9116395016059486
2023-08-01,0,0,0,0.02156565839228101,0.9312996076744918
2023-08-02,1,0,0,-0.0011188495863491263,0.9302576234936781
2023-08-03,1,0,1,0.0,0.9302576234936781
2023-08-04,1,0,0,0.002304545685014892,0.9324014446858526
2023-08-07,0,0,0,0.010979422970001939,0.9426386745248995
2023-08-08,1,0,0,0.007852210536825279,0.9500404718574229
2023-08-09,1,0,0,-0.004926518081677663,0.9453600802944917
2023-08-10,1,0,0,0.0069302735396787035,0.9519116842444252
2023-08-11,0,1,1,0.0,0.9519116842444252
2023-08-14,0,0,0,0.026585253835612103,0.9772184979991483
2023-08-15,0,0,0,0.015356479123556992,0.9922251334628259
2023-08-16,1,2,1,0.0,0.9922251334628259
2023-08-17,1,2,1,0.0,0.9922251334628259
2023-08-18,2,0,1,0.0,0.9922251334628259
2023-08-21,1,0,0,0.005332088003090538,0.997515765193328
2023-08-22,1,0,0,-0.004139019967499479,0.9933870275232973
2023-08-23,1,0,0,0.0006085890640210599,0.9939915920045884
2023-08-24,2,0,0,-0.027721944422222675,0.9664362123348806
2023-08-25,2,0,0,-0.024776972886969523,0.9424908485048737
2023-08-28,2,0,0,-0.016770786765100278,0.9266845354565401
2023-08-29,1,0,0,-0.004033265784735146,0.92294697042644
2023-08-30,1,1,1,0.0,0.92294697042644
2023-08-31,0,0,0,0.0024025941951244453,0.9251644374599943
2023-09-01,0,1,1,0.0,0.9251644374599943
2023-09-05,0,0,0,0.008748350074727119,0.9332580998355824
2023-09-06,1,0,0,-0.004922198859895621,0.9286644178805833
2023-09-07,1,0,0,-0.002417305520497897,0.9264195522565506
2023-09-08,1,1,1,0.0,0.9264195522565506
2023-09-11,1,0,0,-0.003930984760266184,0.9227778111150174
2023-09-12,1,0,0,0.002595324498184553,0.9251727189745853
2023-09-13,1,0,0,0.003113675042628865,0.9280534061797775
2023-09-14,0,0,0,0.013573483611510175,0.9406503238791649
2023-09-15,0,0,0,0.010812622644418002,0.95082122087162
2023-09-18,0,0,0,0.027737500615349766,0.9771946250706341
2023-09-19,0,0,0,0.027878381006481556,1.0044372291458392
2023-09-20,0,0,0,0.0147108834294286,1.0192133881359817
2023-09-21,0,0,0,0.013041620056293302,1.0325055819003386
2023-09-22,0,0,1,0.0,1.0325055819003386
2023-09-25,0,1,1,0.0,1.0325055819003386
2023-09-26,1,0,0,-0.0033976642871857542,1.0289974745583959
2023-09-27,1,2,1,0.0,1.0289974745583959
2023-09-28,0,1,1,0.0,1.0289974745583959
2023-09-29,1,0,0,0.005666866243236392,1.0348286656113463
2023-10-02,1,0,0,0.007042315262763756,1.0421162553175265
2023-10-03,2,0,0,-0.01869032641053698,1.0226387623479154
2023-10-04,2,0,0,-0.01049545587804163,1.0119057023385176
2023-10-05,2,0,0,-0.02349596761663215,0.9881299987252864
2023-10-06,2,0,0,-0.015887245053382848,0.9724313352909388
2023-10-10,1,0,0,0.006989162501529296,0.9792278159148663
2023-10-11,1,0,0,0.0007585904229744018,0.9799706487579294
2023-10-12,1,0,0,-0.00542355125465298,0.9746557277163352
2023-10-13,1,0,0,0.003045369254971036,0.977623914303704
2023-10-16,0,0,0,0.021865106416138803,0.9989997652249166
