date_prediction,y_true,y_pred,signal_filtered,signal_executed,trade_return,cumulative_return
2023-01-03,2,1,1,1,0.0,1.0
2023-01-04,2,2,2,2,0.010153236979514015,1.010153236979514
2023-01-05,2,1,1,1,0.0,1.010153236979514
2023-01-06,2,1,1,1,0.0,1.010153236979514
2023-01-09,2,2,2,2,0.023401265625312657,1.033792101200341
2023-01-10,2,1,1,1,0.0,1.033792101200341
2023-01-11,1,1,1,1,0.0,1.033792101200341
2023-01-12,0,1,1,1,0.0,1.033792101200341
2023-01-13,0,1,1,1,0.0,1.033792101200341
2023-01-17,1,2,2,2,-0.004600351146720199,1.0290362945221139
2023-01-18,2,1,1,1,0.0,1.0290362945221139
2023-01-19,2,2,2,1,0.0,1.0290362945221139
2023-01-20,2,2,2,2,0.01097763488034614,1.040332679242002
2023-01-23,2,1,1,1,0.0,1.040332679242002
2023-01-24,2,1,1,1,0.0,1.040332679242002
2023-01-25,1,1,1,1,0.0,1.040332679242002
2023-01-26,1,1,1,1,0.0,1.040332679242002
2023-01-27,2,1,1,1,0.0,1.040332679242002
2023-01-30,2,2,1,1,0.0,1.040332679242002
2023-01-31,2,2,2,2,0.01468868208263219,1.0556137952275608
2023-02-01,1,1,1,1,0.0,1.0556137952275608
2023-02-02,1,1,1,1,0.0,1.0556137952275608
2023-02-03,1,1,1,1,0.0,1.0556137952275608
2023-02-06,1,1,1,1,0.0,1.0556137952275608
2023-02-07,0,2,2,2,-0.0176609123589097,1.036970692505191
2023-02-08,1,1,1,1,0.0,1.036970692505191
2023-02-09,2,2,2,1,0.0,1.036970692505191
2023-02-10,2,2,2,2,0.01396912260831761,1.051456263250028
2023-02-13,0,2,2,1,0.0,1.051456263250028
2023-02-14,0,2,2,1,0.0,1.051456263250028
2023-02-15,0,2,2,2,-0.01651798827093746,1.0340883210262604
2023-02-16,0,1,1,1,0.0,1.0340883210262604
2023-02-17,0,1,1,1,0.0,1.0340883210262604
2023-02-21,1,1,1,1,0.0,1.0340883210262604
2023-02-22,1,1,1,1,0.0,1.0340883210262604
2023-02-23,0,1,1,1,0.0,1.0340883210262604
2023-02-24,1,2,2,2,-0.0046977225168689015,1.029230461036144
2023-02-27,1,2,2,1,0.0,1.029230461036144
2023-02-28,2,2,2,1,0.0,1.029230461036144
2023-03-01,2,2,2,2,0.024555923848245398,1.054504165859642
2023-03-02,1,1,1,1,0.0,1.054504165859642
2023-03-03,0,2,2,1,0.0,1.054504165859642
2023-03-06,0,1,1,1,0.0,1.054504165859642
2023-03-07,0,2,1,1,0.0,1.054504165859642
2023-03-08,0,2,2,2,-0.034130675941867035,1.0185132258953378
2023-03-09,1,2,2,1,0.0,1.0185132258953378
2023-03-10,1,2,2,1,0.0,1.0185132258953378
2023-03-13,2,2,2,2,0.027107501314015476,1.0461225745046376
2023-03-14,1,2,2,1,0.0,1.0461225745046376
