feature,importance
^VIX_historical_data_Close,10
DGS2_DGS2,9
XLF_historical_data_Close,8
RSI,8
DI_Plus,7
Stoch_K,6
sp-500-pe-ratio-price-to-earnings-chart_ value,6
ADX,5
CL=F_historical_data_Close,5
sp500_PE_Ratio_Value,5
BAA10Y_BAA10Y,4
hv_30,4
std_21,4
sp500_PE_Ratio_YOY,3
Stoch_D,3
global_economic_policy_uncertainty_GEPUCURRENT,3
DI_Minus,2
SP500_historical_data_Volume,2
MACD,2
FEDFUNDS_FEDFUNDS,2
dollar_index_historical_data_Close,2
XLE_historical_data_Close,1
transactions_summary_daily_Nombre_Achats,1
transactions_summary_daily_Somme_Achats,1
ATR,1
transactions_summary_daily_Somme_Ventes,0
MACD_Hist,0
r_sp_bond,0
transactions_summary_daily_Nombre_Ventes,0
SP500_historical_data_Close,0
