,precision,recall,f1-score,support
0,0.28451882845188287,0.425,0.3408521303258145,160.0
1,0.0,0.0,0.0,155.0
2,0.4601226993865031,0.6,0.5208333333333334,250.0
accuracy,0.3858407079646018,0.3858407079646018,0.3858407079646018,0.3858407079646018
macro avg,0.24821384261279533,0.3416666666666666,0.2872284878863826,565.0
weighted avg,0.28416581840518057,0.3858407079646018,0.3269817242220596,565.0
