date_prediction,action_rl,action_executed,trade_return_executed,cumulative_return,y_true,y_pred_lgbm
2023-01-03,2,2,0.01855062511822735,1.0185506251182272,2,2
2023-01-06,0,0,-0.019134402323443888,0.9990612676704198,2,1
2023-01-11,2,2,0.007426417121830696,1.0064807133744054,1,1
2023-01-17,0,0,0.004600351146720199,1.0111108780783291,1,1
2023-01-20,2,2,0.01097763488034614,1.0222104841214192,2,2
2023-01-25,0,0,-0.00038594719398639686,1.021815964853409,1,1
2023-01-30,2,2,0.04031832218028478,1.0630138701333274,2,2
2023-02-02,0,0,0.0037704955568525216,1.0670219592075376,1,1
2023-02-07,2,2,-0.0176609123589097,1.0481773779009411,0,1
2023-02-10,0,0,-0.01396912260831761,1.033535259593778,2,2
2023-02-15,2,2,-0.01651798827093746,1.0164633362982076,0,0
2023-02-21,0,0,0.006829553710185087,1.02340532724789,1,0
2023-02-24,2,2,-0.0046977225168689015,1.018597652998194,1,0
2023-03-01,0,0,-0.024555923848245398,0.9935850465991688,2,0
2023-03-06,2,2,-0.03213595823216137,0.9616552390415577,0,1
2023-03-09,0,0,-0.0002475475934080936,0.9614171836014447,1,1
2023-03-14,2,2,-0.0006761802413094487,0.960767092298238,1,1
2023-03-17,0,0,-0.005190693727938757,0.9557800445782355,1,0
2023-03-22,2,2,0.010302354068122637,0.9656268290087265,2,0
2023-03-27,0,0,-0.018428534363845537,0.947831741807688,2,2
2023-03-30,2,2,0.012286375525849496,0.9594771585228573,2,1
2023-04-04,0,0,-0.0010778719625759807,0.9584429649949534,1,1
2023-04-10,2,2,0.009031238588706471,0.9670988920854902,2,1
2023-04-13,0,0,-0.0020862139238969415,0.965081316911036,1,1
2023-04-18,2,2,-0.005138571616939552,0.9601221774479184,1,1
2023-04-21,0,0,0.01875641799980131,0.9781306303390108,0,1
2023-04-26,2,2,0.027583925804180797,1.0051113130730787,2,1
2023-05-01,0,0,0.025588644436056244,1.0308307490819633,0,1
2023-05-04,2,2,0.014269099332199442,1.0455397754352993,2,1
2023-05-09,0,0,-0.001192025661268412,1.0442934651931035,1,1
2023-05-12,2,2,0.008411558638313752,1.053077600911183,2,1
2023-05-17,0,0,-0.008141797483926863,1.0445036563497048,2,1
2023-05-22,2,2,-0.009862568080660515,1.034202167928457,0,1
2023-05-25,0,0,-0.0130659067039873,1.0206893788892424,1,1
2023-05-31,2,2,0.022479373367170187,1.0436338365291986,2,2
2023-06-05,0,0,-0.004712476872908793,1.0387157362107697,1,1
2023-06-08,2,2,0.01748505140284211,1.056877734251356,2,1
2023-06-13,0,0,-0.009288163749204827,1.0470612807927409,2,1
2023-06-16,2,2,-0.009955552307426552,1.0366372074427277,1,1
2023-06-22,0,0,0.0007941733727162501,1.0374604771100455,1,1
2023-06-27,2,2,0.016437410839586643,1.054513641202137,2,1
2023-06-30,0,0,0.0007999448783010756,1.0553571939885154,0,1
2023-07-06,2,2,0.006272097555533321,1.061976497265145,1,1
2023-07-11,0,0,-0.014903420782515385,1.0461494146652608,2,1
2023-07-14,2,2,0.013383945118184479,1.0601510210165614,2,1
2023-07-19,0,0,0.002426797439093448,1.0627237927994169,1,1
2023-07-24,2,2,-0.003782951001956174,1.0587035607626436,1,1
2023-07-27,0,0,-0.008665697581821953,1.0495291558762765,2,1
2023-08-01,2,2,-0.02156565839228101,1.0268953686279096,0,1
2023-08-04,0,0,0.002304545685014892,1.0292618959186428,1,0
2023-08-09,2,2,0.004926518081677663,1.034332573259668,1,1
2023-08-14,0,0,0.026585253835612103,1.0618305672702182,0,0
2023-08-17,2,2,0.003933301134004067,1.0660070666445824,1,0
2023-08-22,0,0,-0.004139019967499479,1.061594842110245,1,1
2023-08-25,2,2,0.024776972886969523,1.0878979487301572,2,1
2023-08-30,0,0,-0.00019931965270145722,1.0876811092888417,1,1
2023-09-05,2,2,-0.008748350074727119,1.0781656941751154,0,1
2023-09-08,0,0,-0.0022321320985788052,1.0757590859215607,1,1
2023-09-13,2,2,-0.003113675042628865,1.0724095217038454,1,1
2023-09-18,0,0,0.027737500615349766,1.1021554814720127,0,1
2023-09-21,2,2,-0.013041620056293302,1.0877815884396937,0,1
2023-09-26,0,0,-0.0033976642871857542,1.0840856717843939,1,2
2023-09-29,2,2,-0.005666866243236392,1.0779423032861826,1,1
2023-10-04,0,0,-0.01049545587804163,1.0666288074029677,2,1
2023-10-10,2,2,-0.006989162501529296,1.059173965339216,1,1
2023-10-13,0,0,0.003045369254971036,1.0623995411689258,1,1
2023-10-18,2,2,-0.022611610899176023,1.038376976124551,0,1
2023-10-23,0,0,0.01892561082049692,1.0580288946596486,0,2
2023-10-26,2,2,0.013673357412038432,1.0724957018885939,2,2
2023-10-31,0,0,-0.03923411863355759,1.030417278286716,2,1
2023-11-03,1,1,0.0,1.030417278286716,1,2
2023-11-08,0,0,-0.0065643315296582535,1.023653277658154,1,1
2023-11-13,2,2,0.021917565020973223,1.046089264930159,2,1
2023-11-16,0,0,-0.006643325438357452,1.039139753505656,1,1
2023-11-21,2,2,0.004660426869924328,1.0439825883345002,1,1
2023-11-27,0,0,-0.003817139970347498,1.0399975606682217,1,1
2023-11-30,2,2,-0.00013565150241788915,1.0398564834366062,1,1
2023-12-05,0,0,-0.00814286714666088,1.0313890702403878,2,1
2023-12-08,2,2,0.02230918104933853,1.0543985157406897,2,1
2023-12-13,0,0,-0.0071105961336580875,1.046901113731329,1,1
2023-12-18,2,2,0.001305740530600133,1.0482680949470584,1,1
2023-12-21,0,0,-0.0058987728445778695,1.0420845995747474,1,1
2023-12-27,2,2,-0.0024573466946113606,1.039523836428477,0,1
2024-01-02,0,0,0.009612371305535617,1.0495161255251824,0,1
2024-01-05,2,2,0.018353321660366562,1.0687782325646877,2,1
2024-01-10,0,0,-7.941606936187249e-05,1.0686933543984378,1,1
2024-01-16,2,2,0.015491059221305954,1.0852485464408401,2,1
2024-01-19,0,0,-0.005938197108111426,1.078804126660783,1,1
2024-01-24,2,2,0.012196726638511091,1.0919620056901622,2,1
2024-01-29,0,0,0.004411636041810071,1.096779344630752,1,1
2024-02-01,2,2,0.009791720181288047,1.1075187010739929,2,0
2024-02-06,0,0,-0.014609713940984972,1.0913381696670106,2,1
2024-02-09,2,2,-0.005170432319325558,1.0856954795232507,1,1
2024-02-14,0,0,-0.0009898186455390787,1.0846208378942412,1,0
2024-02-20,2,2,0.022769534057636213,1.109317149002296,2,1
2024-02-23,0,0,0.003741557890518988,1.1134677233342334,1,1
2024-02-28,2,2,0.012069690185794523,1.1269069337867597,2,1
2024-03-04,0,0,-0.005147130056510229,1.121106597236976,1,1
2024-03-07,2,2,0.0034727373549235095,1.124999905996052,1,1
2024-03-12,0,0,0.01124195946524152,1.1376471093376601,0,1
2024-03-15,2,2,0.02101395064791313,1.1615535695480228,2,0
2024-03-20,0,0,0.00123074513304739,1.1629831459505178,1,1
2024-03-25,2,2,0.006929635880646997,1.1710421956872843,1,1
2024-03-28,0,0,0.009238067155850868,1.1818603621333785,0,1
2024-04-03,2,2,-0.0017461603585526722,1.1797966444196766,1,1
2024-04-08,0,0,0.0006401054202944391,1.1805518386466147,1,1
2024-04-11,2,2,-0.028399345396999814,1.1470249392218264,0,1
2024-04-16,0,0,0.01666468831027227,1.1661397523180672,0,1
2024-04-19,2,2,0.021017730758240014,1.190649363658769,2,2
2024-04-24,0,0,-0.008782194302751461,1.1801928496006702,2,1
2024-04-29,2,2,-0.01015793598650724,1.168204526182693,0,1
2024-05-02,0,0,-0.024386871615840435,1.139715672381632,2,1
2024-05-07,2,2,0.006742868545170979,1.1474006253393725,1,1
2024-05-10,0,0,-0.016365108275027535,1.1286232898708592,2,1
2024-05-15,2,2,-3.7714705911301817e-06,1.128619033301313,1,1
2024-05-20,0,0,0.007590251171689947,1.13718553524122,1,1
2024-05-23,2,2,0.007251586313472004,1.1454319343044537,1,1
2024-05-29,0,0,-0.003123193958790416,1.1418545282070283,1,1
2024-06-03,2,2,0.013165775803359635,1.156887928925453,2,1
2024-06-06,0,0,-0.004177102658046776,1.1520554892824761,1,1
2024-06-11,2,2,0.010470125551214023,1.164117654897229,2,1
2024-06-14,0,0,-0.010205038387107707,1.152237789541893,1,1
2024-06-20,2,2,-0.0007071070773870975,1.151423034046075,1,1
2024-06-25,0,0,0.0016126057326736616,1.1532798254315102,1,1
2024-06-28,2,2,0.014017089951116255,1.1694454524833913,2,1
2024-07-03,0,0,-0.006471003897152838,1.1618779664028636,1,1
2024-07-09,2,2,0.006880088743706582,1.1698717899210727,1,1
2024-07-12,0,0,0.0048225093100255235,1.1755135075195033,1,1
2024-07-17,2,2,-0.004269633213473709,1.170494496004911,1,1
2024-07-22,0,0,0.029686873678912228,1.2052428182496708,0,1
2024-07-25,2,2,0.006893537414935226,1.213551204711357,1,0
2024-07-30,0,0,0.01653285675574863,1.233614672944616,0,0
2024-08-02,2,2,-0.02750554692776231,1.1996834266671617,0,0
2024-08-07,0,0,-0.027866167269689393,1.1662528476289804,2,0
2024-08-12,2,2,0.03720351116564893,1.2096415484677152,2,0
2024-08-15,0,0,-0.009723572265705,1.19787951145559,2,0
2024-08-20,2,2,0.0066980420839330215,1.2059029588348007,1,1
2024-08-23,0,0,0.0075301908258989135,1.214983638232343,1,1
2024-08-28,2,2,0.010053275251390818,1.227198203173429,0,1
2024-09-03,0,0,0.02179630598956183,1.2539465907196374,0,0
2024-09-06,2,2,0.026941317989780837,1.2877295645624167,2,0
2024-09-11,0,0,-0.014216441207441886,1.2694226329167304,2,0
2024-09-16,2,2,0.014299486641087713,1.2875747248980176,2,1
2024-09-19,0,0,-0.003376138258783997,1.2832276946082461,1,0
2024-09-24,2,2,0.000913973471347217,1.2844005306788162,1,1
2024-09-27,0,0,0.0049893752193286255,1.2908088868582777,1,1
2024-10-02,2,2,-0.002381995320674399,1.2877341861298963,1,2
2024-10-07,0,0,-0.014766634505715035,1.2687186860628017,2,2
2024-10-10,2,2,0.006091636253539798,1.2764472588063651,2,1
2024-10-16,0,0,-0.001970016996536424,1.2739326360113343,1,1
2024-10-21,2,2,-0.007536772816904498,1.2643312951496766,1,1
