,precision,recall,f1-score,support
0,0.1258741258741259,0.27692307692307694,0.17307692307692307,65.0
1,0.6223776223776224,0.5953177257525084,0.6085470085470085,299.0
2,0.2,0.07,0.1037037037037037,100.0
accuracy,0.4375,0.4375,0.4375,0.4375
macro avg,0.3160839160839161,0.3140802675585284,0.2951092117758784,464.0
weighted avg,0.46179467084639503,0.4375,0.4387412196679438,464.0
