feature,importance
ADX,181
std_21,159
sp500_PE_Ratio_YOY,157
dollar_index_historical_data_Close,134
hv_30,126
DI_Minus,126
MACD_Signal,123
DI_Plus,117
^VIX_historical_data_Close,116
global_economic_policy_uncertainty_GEPUCURRENT,115
MACD_Hist,115
Stoch_K,114
sp-500-pe-ratio-price-to-earnings-chart_ value,110
DGS2_DGS2,110
sp500_PE_Ratio_Value,106
BAA10Y_BAA10Y,104
gold_historical_data_Close,104
Market_yield_US_10_year_DGS10,99
RSI,96
ATR,93
XHB_homebuilder_historical_data_Close,86
SP500_historical_data_Volume,86
XLE_historical_data_Close,82
XLF_historical_data_Close,81
r_sp_gold,79
MACD,77
CL=F_historical_data_Close,71
r_sp_bond,69
Stoch_D,67
transactions_summary_daily_Somme_Ventes,67
silver_historical_data_Close,66
XLV_historical_data_Close,65
PPI_ProducerPriceIndexes,63
r_sp_dxy,59
personal_savings_rate_PSAVERT,55
transactions_summary_daily_Somme_Achats,46
FEDFUNDS_FEDFUNDS,36
Ichimoku_B,34
XLI_historical_data_Close,34
OBV,32
SMA_150,32
transactions_summary_daily_Nombre_Ventes,30
average_sales_price_of_houses_sold_us_ASPUS,29
XLK_historical_data_Close,28
profit_per_unit_of_real_gross_value_A466RD3Q052SBEA,28
Ichimoku_Tenkan,28
PSAR,26
SP500_historical_data_Low,25
Ichimoku_Kijun,25
AD,24
SMA_200,22
BB_Low,21
BB_High,21
SMA_100,19
transactions_summary_daily_Nombre_Achats,19
unemployment_rate_U2RATE,18
adp_payroll_2000_aujourdhui_PAYEMS,18
Fib_Level_0,16
SP500_historical_data_Close,16
CPI_price_index_CPI,16
Mortgage_debt_percent_of_disposable_personal_income_MDSP,15
BB_Mid,13
VWAP,11
SP500_historical_data_High,11
Fib_Level_23,11
Fib_Level_50,11
EMA_26,11
us_federal_debt_GFDEBTN,10
Inflation_us_FPCPITOTLZGUSA,9
Fib_Level_38,8
EMA_12,7
M2SL_M2SL,6
Ichimoku_A,6
Fib_Level_100,4
SP500_historical_data_Open,4
fed_funds_rate_FEDFUNDS,3
average_hourly_earnings_all_employees_CES0500000003,2
GDP_GDP,1
Fib_Level_61,1
interest_rates_rate,0
