,precision,recall,f1-score,support
0,0.24688796680497926,0.9296875,0.3901639344262295,128.0
1,0.6329113924050633,0.2066115702479339,0.3115264797507788,242.0
2,1.0,0.020512820512820513,0.04020100502512563,195.0
accuracy,0.30619469026548674,0.30619469026548674,0.30619469026548674,0.30619469026548674
macro avg,0.6265997864033476,0.3856039635869181,0.24729713973404463,565.0
weighted avg,0.6721525959523234,0.30619469026548674,0.235698385285213,565.0
