,precision,recall,f1-score,support
0,0.25170068027210885,0.2890625,0.2690909090909091,128.0
1,0.5497076023391813,0.3884297520661157,0.4552058111380145,242.0
2,0.4331983805668016,0.5487179487179488,0.4841628959276018,195.0
accuracy,0.42123893805309737,0.42123893805309737,0.42123893805309737,0.42123893805309737
macro avg,0.41153555439269723,0.40873673359468815,0.4028198720521752,565.0
weighted avg,0.4419833823919259,0.42123893805309737,0.42303576524764286,565.0
