feature,importance
dollar_index_historical_data_Close,214
std_21,212
Market_yield_US_10_year_DGS10,196
XHB_homebuilder_historical_data_Close,184
DI_Plus,174
DI_Minus,172
^VIX_historical_data_Close,167
sp500_PE_Ratio_YOY,164
ADX,154
Stoch_K,152
RSI,150
sp500_PE_Ratio_Value,149
hv_30,145
gold_historical_data_Close,143
ATR,130
silver_historical_data_Close,126
MACD_Hist,121
MACD_Signal,117
r_sp_dxy,111
r_sp_gold,107
SP500_historical_data_Volume,102
MACD,93
PSAR,85
interest_rates_rate,81
AD,75
r_sp_bond,73
Stoch_D,68
SMA_150,62
OBV,61
transactions_summary_daily_Somme_Ventes,60
PPI_ProducerPriceIndexes,60
personal_savings_rate_PSAVERT,58
SP500_historical_data_Close,54
transactions_summary_daily_Somme_Achats,53
average_sales_price_of_houses_sold_us_ASPUS,53
SMA_200,51
SP500_historical_data_Low,46
Ichimoku_Kijun,40
BB_Low,39
adp_payroll_2000_aujourdhui_PAYEMS,38
profit_per_unit_of_real_gross_value_A466RD3Q052SBEA,36
SP500_historical_data_High,35
Ichimoku_B,35
SMA_100,33
CPI_price_index_CPI,33
Fib_Level_23,32
transactions_summary_daily_Nombre_Ventes,30
BB_High,30
Ichimoku_Tenkan,28
transactions_summary_daily_Nombre_Achats,27
unemployment_rate_U2RATE,25
EMA_12,22
BB_Mid,20
EMA_26,18
VWAP,17
Fib_Level_0,17
GDP_GDP,17
Inflation_us_FPCPITOTLZGUSA,14
Fib_Level_61,14
Ichimoku_A,13
SP500_historical_data_Open,11
us_federal_debt_GFDEBTN,11
Fib_Level_38,10
Fib_Level_100,10
Mortgage_debt_percent_of_disposable_personal_income_MDSP,9
Fib_Level_50,8
average_hourly_earnings_all_employees_CES0500000003,6
