w0,w1,w2,lgb_bal_acc,lgb_f1_macro,lgb_recall_0,lgb_recall_1,lgb_recall_2,lgb_sharpe,lgb_return_pct,xgb_bal_acc,xgb_f1_macro,xgb_recall_0,xgb_recall_1,xgb_recall_2
1.2,0.9,1.5,0.3598,0.2258,0.8281,0.0,0.2513,0.406,17.31,0.3374,0.2161,0.8203,0.1612,0.0308
1.2,1.0,0.8,0.3413,0.1685,0.9453,0.0785,0.0,-1.602,-61.92,0.3943,0.268,0.9219,0.2149,0.0462
1.2,1.0,1.0,0.3332,0.1515,0.9531,0.0413,0.0051,-1.646,-63.11,0.381,0.303,0.75,0.3058,0.0872
1.2,1.0,1.2,0.3399,0.198,0.8828,0.0496,0.0872,-1.162,-51.71,0.3654,0.2856,0.7656,0.2025,0.1282
1.2,1.0,1.5,0.3661,0.2434,0.7812,0.0041,0.3128,0.767,44.01,0.3493,0.1894,0.9375,0.0744,0.0359
1.5,0.6,0.8,0.3333,0.1231,1.0,0.0,0.0,-1.707,-64.55,0.3629,0.215,0.9297,0.1281,0.0308
1.5,0.6,1.0,0.3416,0.1405,1.0,0.0248,0.0,-1.636,-63.07,0.3559,0.2302,0.875,0.1157,0.0769
1.5,0.6,1.2,0.3333,0.1231,1.0,0.0,0.0,-1.707,-64.55,0.3682,0.2033,0.9766,0.1074,0.0205
1.5,0.6,1.5,0.3442,0.1717,0.9453,0.0,0.0872,-1.277,-54.87,0.3717,0.2585,0.8594,0.1942,0.0615
1.5,0.8,0.8,0.3333,0.1231,1.0,0.0,0.0,-1.707,-64.55,0.3787,0.2516,0.9062,0.1736,0.0564
1.5,0.8,1.0,0.3364,0.1392,0.9844,0.0248,0.0,-1.637,-63.09,0.3666,0.2171,0.9453,0.1033,0.0513
1.5,0.8,1.2,0.3346,0.1358,0.9844,0.0041,0.0154,-1.545,-61.15,0.3603,0.213,0.9297,0.0537,0.0974
1.5,0.8,1.5,0.3348,0.1536,0.9531,0.0,0.0513,-1.261,-54.46,0.3683,0.2384,0.9062,0.1116,0.0872
1.5,0.9,0.8,0.3404,0.1426,0.9922,0.0289,0.0,-1.639,-63.07,0.3907,0.2757,0.8906,0.2149,0.0667
1.5,0.9,1.0,0.3333,0.1231,1.0,0.0,0.0,-1.707,-64.55,0.377,0.2328,0.9453,0.1446,0.041
1.5,0.9,1.2,0.3362,0.1443,0.9766,0.0165,0.0154,-1.495,-59.97,0.3624,0.2429,0.8594,0.1818,0.0462
1.5,0.9,1.5,0.3398,0.1741,0.9219,0.0,0.0974,-1.145,-51.39,0.3809,0.272,0.875,0.124,0.1436
1.5,1.0,0.8,0.3417,0.1453,0.9922,0.0331,0.0,-1.625,-62.78,0.3842,0.2671,0.875,0.2314,0.0462
1.5,1.0,1.0,0.3488,0.1631,0.9844,0.062,0.0,-1.657,-63.44,0.3949,0.281,0.8906,0.2273,0.0667
1.5,1.0,1.2,0.3463,0.1683,0.9688,0.0496,0.0205,-1.306,-55.41,0.3692,0.2405,0.8984,0.1529,0.0564
1.5,1.0,1.5,0.3534,0.1938,0.9219,0.0,0.1385,-0.624,-34.7,0.3639,0.2324,0.8906,0.1653,0.0359
