feature,importance
dollar_index_historical_data_Close,380
std_21,368
ADX,353
sp500_PE_Ratio_Value,349
Market_yield_US_10_year_DGS10,322
XHB_homebuilder_historical_data_Close,309
sp500_PE_Ratio_YOY,302
hv_30,291
gold_historical_data_Close,271
SP500_historical_data_Close,270
^VIX_historical_data_Close,270
silver_historical_data_Close,265
DI_Minus,260
DI_Plus,244
MACD_Signal,236
Stoch_K,229
RSI,219
SP500_historical_data_Volume,194
MACD,192
PPI_ProducerPriceIndexes,180
MACD_Hist,178
average_sales_price_of_houses_sold_us_ASPUS,176
adp_payroll_2000_aujourdhui_PAYEMS,171
Stoch_D,150
interest_rates_rate,148
