,precision,recall,f1-score,support
0,0.3,0.140625,0.19148936170212766,128.0
1,0.7777777777777778,0.028925619834710745,0.055776892430278883,242.0
2,0.375,0.9538461538461539,0.5383502170767004,195.0
accuracy,0.3734513274336283,0.3734513274336283,0.3734513274336283,0.3734513274336283
macro avg,0.4842592592592592,0.37446559122695494,0.2618721570697023,565.0
weighted avg,0.5305260570304818,0.3734513274336283,0.2530742276034627,565.0
