,precision,recall,f1-score,support
0,0.6720142602495544,1.0,0.8038379530916845,377.0
2,0.0,0.0,0.0,184.0
accuracy,0.6720142602495544,0.6720142602495544,0.6720142602495544,0.6720142602495544
macro avg,0.3360071301247772,0.5,0.40191897654584224,561.0
weighted avg,0.45160316597875577,0.6720142602495544,0.5401905674074243,561.0
