date_prediction,action_rl,action_executed,trade_return_executed,cumulative_return,y_true,y_pred_lgbm
2023-05-23,0,0,-0.014441915500177382,0.9855580844998226,2,1
2023-05-26,2,2,-0.006092122364463339,0.9795539440517637,1,1
2023-06-01,0,0,-0.014885046229175991,0.9649732383105815,2,1
2023-06-06,2,2,0.003503802720177356,0.9683543141678723,2,1
2023-06-09,0,0,-0.017151054654866816,0.9517460164003031,1,1
2023-06-14,2,2,0.008461804404747973,0.9597995050340805,1,1
2023-06-20,0,0,0.009200854732235302,0.9686304808519705,1,1
2023-06-23,2,2,0.006561090037707543,0.9749857526501082,2,1
2023-06-28,0,0,-0.01798777729422838,0.9574479260663924,1,1
2023-07-03,2,2,-0.00987523572478742,0.9479929021022779,1,1
2023-07-07,0,0,-0.016642598276177843,0.9322158370639217,2,1
2023-07-12,2,2,0.011321124701167728,0.9427695688037259,1,0
2023-07-17,0,0,-0.002670934980546654,0.9402514925838131,1,0
2023-07-20,2,2,0.007186499923444782,0.9470086098632855,1,0
2023-07-25,0,0,-0.0032337490985292314,0.9439462216248407,1,0
2023-07-28,2,2,-0.015023218835244465,0.9297651109686684,1,0
2023-08-02,0,0,-0.0011188495863491263,0.9287248436588593,1,0
2023-08-07,2,2,-0.010979422970001939,0.9185279807775797,0,0
2023-08-10,0,0,0.0069302735396787035,0.9248936309382171,1,0
2023-08-15,2,2,-0.015356479123556992,0.9106905212032036,1,0
2023-08-18,0,0,-0.01517258703213238,0.8968729900109099,2,0
2023-08-23,2,2,-0.0006085890640210599,0.8963271629173735,1,0
2023-08-28,0,0,-0.016770786765100278,0.8812950511963189,1,0
2023-08-31,2,2,-0.0024025941951244453,0.8791776568221227,1,2
2023-09-06,0,0,-0.004922198859895621,0.8748501695620671,1,2
2023-09-11,2,2,0.003930984760266184,0.8782891922461319,1,1
2023-09-14,0,0,0.013573483611510175,0.8902106362032514,0,1
2023-09-19,2,2,-0.027878381006481556,0.8653930049111548,0,1
2023-09-22,0,0,0.0105439027122177,0.8745176245627717,0,1
2023-09-27,2,2,0.00324724280790606,0.8773573956295202,1,1
2023-10-02,0,0,0.007042315262763756,0.8835360230076605,1,1
2023-10-05,2,2,0.02349596761663215,0.9042955567923765,2,1
2023-10-11,0,0,0.0007585904229744018,0.9049815467412974,0,1
2023-10-16,2,2,-0.021865106416138803,0.885194028917157,0,1
2023-10-19,0,0,0.0070873829403342685,0.8914677379765902,0,1
2023-10-24,2,2,-0.030677935532136165,0.8641193481819651,1,1
2023-10-27,0,0,-0.029263763680311142,0.8388319637851835,2,1
2023-11-01,2,2,0.030232268484758334,0.8641917569279343,2,1
2023-11-06,0,0,0.004267056398756052,0.867879311894086,2,1
2023-11-09,2,2,0.0341242583007586,0.8974950497070444,2,1
2023-11-14,0,0,-0.00407496572788626,0.8938377881385406,1,1
2023-11-17,2,2,0.009437285938460178,0.9022731909278048,1,1
