,precision,recall,f1-score,support
0,0.28775510204081634,0.88125,0.4338461538461538,160.0
1,0.21212121212121213,0.04516129032258064,0.07446808510638298,155.0
2,0.5,0.084,0.14383561643835616,250.0
accuracy,0.2991150442477876,0.2991150442477876,0.2991150442477876,0.2991150442477876
macro avg,0.33329210472067616,0.3368037634408602,0.21738328513029767,565.0
weighted avg,0.36091965346074073,0.2991150442477876,0.20693246356896108,565.0
