feature,importance
FEDFUNDS_FEDFUNDS,0.06595634
PPI_ProducerPriceIndexes,0.05397714
XLF_historical_data_Close,0.05177419
SP500_historical_data_Close,0.051369727
sp500_PE_Ratio_YOY,0.049602095
^VIX_historical_data_Close,0.04897026
silver_historical_data_Close,0.048459377
adp_payroll_2000_aujourdhui_PAYEMS,0.04805516
sp500_PE_Ratio_Value,0.043444652
XHB_homebuilder_historical_data_Close,0.04020536
ATR,0.03981927
hv_30,0.03976915
RSI,0.039019577
BAA10Y_BAA10Y,0.036072597
std_21,0.035800446
Market_yield_US_10_year_DGS10,0.03494105
XLE_historical_data_Close,0.03355762
MACD_Signal,0.03355198
DI_Plus,0.03265969
ADX,0.03258518
MACD,0.030351406
SP500_historical_data_Volume,0.029126737
DI_Minus,0.028485075
MACD_Hist,0.026406392
Stoch_K,0.026039664
