feature,importance
^VIX_historical_data_Close,10
FEDFUNDS_FEDFUNDS,10
RSI,8
silver_historical_data_Close,8
ATR,7
BAA10Y_BAA10Y,6
Market_yield_US_10_year_DGS10,5
DI_Plus,5
XHB_homebuilder_historical_data_Close,5
sp500_PE_Ratio_Value,5
XLF_historical_data_Close,5
SP500_historical_data_Close,4
hv_30,4
SP500_historical_data_Volume,3
std_21,2
ADX,2
PPI_ProducerPriceIndexes,2
MACD_Signal,1
adp_payroll_2000_aujourdhui_PAYEMS,1
XLE_historical_data_Close,1
Stoch_K,1
MACD_Hist,0
sp500_PE_Ratio_YOY,0
MACD,0
DI_Minus,0
