fold,test_start,test_end,n_train,n_test,accuracy,balanced_accuracy,f1_macro,f1_class0,f1_class2
1,2008-12-18,2011-10-03,699,699,0.3977110157367668,0.3333333333333333,0.1896963493688161,0.0,0.5690890481064483
2,2011-10-04,2014-07-24,1398,699,0.26609442060085836,0.3557785252474404,0.25662322313778274,0.30120481927710846,0.32697547683923706
3,2014-07-25,2017-05-11,2097,699,0.22317596566523606,0.3322945711005412,0.20741752879172362,0.26055045871559634,0.3617021276595745
4,2017-05-12,2020-03-03,2796,699,0.2317596566523605,0.335972850678733,0.214445096887845,0.27692307692307694,0.366412213740458
5,2020-03-04,2022-12-19,3495,699,0.32045779685264664,0.3262585337165169,0.29902576697350175,0.32825719120135366,0.3804143126177024
