feature,importance
^VIX_historical_data_Close,6.1859211921691895
FEDFUNDS_FEDFUNDS,4.835780143737793
sp-500-pe-ratio-price-to-earnings-chart_ value,4.5248260498046875
XLF_historical_data_Close,4.225764274597168
RSI,4.038875579833984
SP500_historical_data_Close,3.9668056964874268
global_economic_policy_uncertainty_GEPUCURRENT,3.9440207481384277
DGS2_DGS2,3.8732287883758545
sp500_PE_Ratio_Value,3.8288252353668213
hv_30,3.7300922870635986
sp500_PE_Ratio_YOY,3.697502374649048
MACD,3.5600216388702393
dollar_index_historical_data_Close,3.5281596183776855
std_21,3.500190496444702
r_sp_bond,3.5000007152557373
ADX,3.373289108276367
MACD_Hist,3.2025108337402344
DI_Minus,3.195218086242676
BAA10Y_BAA10Y,3.1775765419006348
DI_Plus,3.1283090114593506
XLE_historical_data_Close,3.1197493076324463
CL=F_historical_data_Close,3.1158132553100586
Stoch_K,3.082110643386841
Stoch_D,3.0793750286102295
ATR,2.946932792663574
transactions_summary_daily_Nombre_Ventes,2.873602867126465
SP500_historical_data_Volume,2.8499319553375244
transactions_summary_daily_Somme_Ventes,2.782620429992676
transactions_summary_daily_Somme_Achats,2.7282238006591797
transactions_summary_daily_Nombre_Achats,2.6047780513763428
