feature,importance
RSI,5
hv_30,5
BAA10Y_BAA10Y,4
XLE_historical_data_Close,4
Stoch_D,4
^VIX_historical_data_Close,4
DGS2_DGS2,4
dollar_index_historical_data_Close,4
XLF_historical_data_Close,4
SP500_historical_data_Close,4
sp-500-pe-ratio-price-to-earnings-chart_ value,4
transactions_summary_daily_Somme_Ventes,3
ATR,3
Stoch_K,3
ADX,3
MACD_Hist,3
transactions_summary_daily_Nombre_Ventes,2
global_economic_policy_uncertainty_GEPUCURRENT,2
CL=F_historical_data_Close,2
std_21,2
transactions_summary_daily_Nombre_Achats,2
MACD,2
sp500_PE_Ratio_YOY,1
DI_Minus,1
DI_Plus,1
SP500_historical_data_Volume,1
transactions_summary_daily_Somme_Achats,1
FEDFUNDS_FEDFUNDS,1
sp500_PE_Ratio_Value,1
r_sp_bond,0
