,precision,recall,f1-score,support
0,0.24107142857142858,0.7297297297297297,0.3624161073825503,111.0
1,0.0,0.0,0.0,202.0
2,0.302158273381295,0.25925925925925924,0.27906976744186046,162.0
accuracy,0.25894736842105265,0.25894736842105265,0.25894736842105265,0.25894736842105265
macro avg,0.18107656731757452,0.32966299632966295,0.21382862494147026,475.0
weighted avg,0.15938646075620708,0.25894736842105265,0.1798684005158831,475.0
