date_prediction,action_rl,action_executed,trade_return_executed,cumulative_return,y_true,y_pred_lgbm
2023-01-03,0,0,-0.01855062511822735,0.9814493748817726,2,0
2023-01-06,2,2,0.019134402323443888,1.000228822080853,0,0
2023-01-11,0,0,-0.007426417121830696,0.9928007056308032,0,0
2023-01-17,2,2,-0.004600351146720199,0.98823347376619,2,0
2023-01-20,0,0,-0.01097763488034614,0.9773850075146486,2,0
2023-01-25,2,2,0.00038594719398639686,0.9777622265157433,2,0
2023-01-30,0,0,-0.04031832218028478,0.938340494051369,2,0
2023-02-02,2,2,-0.0037704955568525216,0.9348024853877336,0,0
2023-02-07,0,0,0.0176609123589097,0.9513119501550573,0,0
2023-02-10,2,2,0.01396912260831761,0.964600943425531,0,0
2023-02-15,0,0,0.01651798827093746,0.9805342104951691,0,0
2023-02-21,2,2,-0.006829553710185087,0.9738375994399183,0,0
2023-02-24,0,0,0.0046977225168689015,0.9784124182585808,0,0
2023-03-01,2,2,0.024555923848245398,1.002438239093516,0,0
2023-03-06,0,0,0.03213595823216137,1.0346525524753467,0,0
2023-03-09,2,2,0.0002475475934080936,1.0349086782247254,0,0
2023-03-14,0,0,0.0006761802413094487,1.0356084630245008,0,0
2023-03-17,2,2,0.005190693727938757,1.0409839893781223,0,0
2023-03-22,0,0,-0.010302354068122637,1.0302594037403021,2,0
2023-03-27,2,2,0.018428534363845537,1.0492455745658054,2,0
2023-03-30,0,0,-0.012286375525849496,1.036354149417854,0,0
2023-04-04,2,2,0.0010778719625759807,1.0374712064988107,0,0
2023-04-10,0,0,-0.009031238588706471,1.0281015565040068,0,0
2023-04-13,2,2,0.0020862139238969415,1.0302463962863655,0,0
2023-04-18,0,0,0.005138571616939552,1.0355403911767769,0,0
2023-04-21,2,2,-0.01875641799980131,1.0161173627441875,0,0
2023-04-26,0,0,-0.027583925804180797,0.9880888568019119,2,0
2023-05-01,2,2,-0.025588644436056244,0.9628050023739785,0,0
2023-05-04,0,0,-0.014269099332199442,0.9490666421575656,2,0
2023-05-09,2,2,0.001192025661268412,0.9501979539492712,2,0
2023-05-12,0,0,-0.008411558638313752,0.9422053081416212,0,0
2023-05-17,2,2,0.008141797483926863,0.9498765529487911,0,0
2023-05-22,0,0,0.009862568080660515,0.9592447751204718,0,0
2023-05-25,2,2,0.0130659067039873,0.9717781778584832,2,0
2023-05-31,0,0,-0.022479373367170187,0.949933213368334,2,0
2023-06-05,2,2,0.004712476872908793,0.9544097516671403,2,0
2023-06-08,0,0,-0.01748505140284211,0.9377218480998666,2,0
2023-06-13,2,2,0.009288163749204827,0.9464315621762251,0,0
2023-06-16,0,0,0.009955552307426552,0.95585381109887,0,0
2023-06-22,2,2,-0.0007941733727162501,0.955094697453886,0,0
2023-06-27,0,0,-0.016437410839586643,0.9393954135211258,0,0
2023-06-30,2,2,-0.0007999448783010756,0.93864394897138,0,0
2023-07-06,0,0,-0.006272097555533321,0.9327566825535204,2,0
2023-07-11,2,2,0.014903420782515385,0.9466579478813186,2,0
2023-07-14,0,0,-0.013383945118184479,0.9339879298611818,0,0
2023-07-19,2,2,-0.002426797439093448,0.9317213303448505,0,0
2023-07-24,0,0,0.003782951001956174,0.9352459864850226,0,0
2023-07-27,2,2,0.008665697581821953,0.9433505453685146,0,0
2023-08-01,0,0,0.02156565839228101,0.9636945209741039,0,0
2023-08-04,2,2,-0.002304545685014892,0.9614736429241205,0,0
2023-08-09,0,0,-0.004926518081677663,0.9567369256371984,0,0
2023-08-14,2,2,-0.026585253835612103,0.9313018316152304,0,0
2023-08-17,0,0,-0.003933301134004067,0.9276387410648381,2,0
2023-08-22,2,2,0.004139019967499479,0.9314782563367316,2,0
2023-08-25,0,0,-0.024776972886969523,0.9083990448346748,0,0
2023-08-30,2,2,0.00019931965270145722,0.9085801066168057,0,0
2023-09-05,0,0,0.008748350074727119,0.9165286834604224,0,0
2023-09-08,2,2,0.0022321320985788052,0.9185744965540426,0,0
2023-09-13,0,0,0.003113675042628865,0.9214346390387582,0,0
2023-09-18,2,2,-0.027737500615349766,0.8958763451714161,0,0
2023-09-21,0,0,0.013041620056293302,0.9075600240825624,0,0
2023-09-26,2,2,0.0033976642871857542,0.9106436083648652,0,0
2023-09-29,0,0,0.005666866243236392,0.9158041038887271,2,0
2023-10-04,2,2,0.01049545587804163,0.9254158854540208,2,0
2023-10-10,0,0,0.006989162501529296,0.9318837674589555,0,0
2023-10-13,2,2,-0.003045369254971036,0.9290458372843294,0,0
2023-10-18,0,0,0.022611610899176023,0.950053060264502,0,0
2023-10-23,2,2,-0.01892561082049692,0.9320727257871139,0,0
2023-10-26,0,0,-0.013673357412038432,0.9193281622734137,2,0
2023-10-31,2,2,0.03923411863355759,0.9553971924552194,2,0
