fold,test_start,test_end,n_train,n_test,accuracy,balanced_accuracy,f1_macro,f1_class0,f1_class2
1,2008-12-18,2011-10-03,699,699,0.43919885550786836,0.399110739890388,0.344485325406378,0.04504504504504504,0.5605263157894737
2,2011-10-04,2014-07-24,1398,699,0.351931330472103,0.3884944333849443,0.35154660154660156,0.2967032967032967,0.3333333333333333
3,2014-07-25,2017-05-11,2097,699,0.26895565092989987,0.34308730641687274,0.25547742125713696,0.2158273381294964,0.4007220216606498
4,2017-05-12,2020-03-03,2796,699,0.29756795422031473,0.3333333333333333,0.15288496876148475,0.0,0.45865490628445427
5,2020-03-04,2022-12-19,3495,699,0.3776824034334764,0.3465992457589096,0.3258561835933211,0.14332247557003258,0.48484848484848486
