feature,importance
interest_rates_rate,0.027501237
Mortgage_debt_percent_of_disposable_personal_income_MDSP,0.026905334
Fib_Level_61,0.026250854
Ichimoku_Kijun,0.026204765
Fib_Level_23,0.023373302
^VIX_historical_data_Close,0.022654245
Fib_Level_38,0.022486843
SMA_200,0.021813158
SMA_150,0.021287551
Fib_Level_50,0.021051796
AD,0.020814974
Fib_Level_0,0.019760964
BB_Low,0.01914403
adp_payroll_2000_aujourdhui_PAYEMS,0.018631032
EMA_12,0.018619604
OBV,0.018278843
personal_savings_rate_PSAVERT,0.017804654
Inflation_us_FPCPITOTLZGUSA,0.017361693
r_sp_dxy,0.01678418
Ichimoku_B,0.016489021
dollar_index_historical_data_Close,0.016361017
gold_historical_data_Close,0.016333876
us_federal_debt_GFDEBTN,0.01633321
RSI,0.0159736
unemployment_rate_U2RATE,0.015704509
Fib_Level_100,0.015537021
PPI_ProducerPriceIndexes,0.015467995
sp500_PE_Ratio_YOY,0.015395184
std_21,0.015187398
CPI_price_index_CPI,0.01483807
average_sales_price_of_houses_sold_us_ASPUS,0.014804923
BB_Mid,0.014551977
EMA_26,0.014340593
SMA_100,0.014292019
hv_30,0.014140211
sp500_PE_Ratio_Value,0.0140699
XHB_homebuilder_historical_data_Close,0.013846896
PSAR,0.01355418
silver_historical_data_Close,0.013038914
Market_yield_US_10_year_DGS10,0.0128424
GDP_GDP,0.012797967
SP500_historical_data_High,0.012746969
Ichimoku_Tenkan,0.012550714
Ichimoku_A,0.012499768
DI_Plus,0.011938898
r_sp_bond,0.0118556395
profit_per_unit_of_real_gross_value_A466RD3Q052SBEA,0.01184083
average_hourly_earnings_all_employees_CES0500000003,0.011772564
r_sp_gold,0.011716177
ATR,0.011670561
ADX,0.011624158
SP500_historical_data_Low,0.011449506
VWAP,0.011368129
MACD,0.010775167
Stoch_K,0.010559606
BB_High,0.010535674
SP500_historical_data_Open,0.010240174
MACD_Hist,0.00996165
DI_Minus,0.009819379
transactions_summary_daily_Nombre_Ventes,0.009709066
MACD_Signal,0.008676051
Stoch_D,0.008646813
SP500_historical_data_Close,0.008182911
SP500_historical_data_Volume,0.007856925
transactions_summary_daily_Somme_Ventes,0.0070833275
transactions_summary_daily_Somme_Achats,0.0063045793
transactions_summary_daily_Nombre_Achats,0.005984788
