feature,importance
^VIX_historical_data_Close,10.611748695373535
^VIX_historical_data_Close_lag1,7.565950870513916
FEDFUNDS_FEDFUNDS_lag1,6.367577075958252
FEDFUNDS_FEDFUNDS_lag5,5.126636028289795
sp-500-pe-ratio-price-to-earnings-chart_ value_lag21,4.939390182495117
RSI,4.846347808837891
sp-500-pe-ratio-price-to-earnings-chart_ value,4.636183738708496
global_economic_policy_uncertainty_GEPUCURRENT_lag21,4.626354694366455
FEDFUNDS_FEDFUNDS,4.458494663238525
SP500_historical_data_Close_lag1,4.3624677658081055
FEDFUNDS_FEDFUNDS_lag21,4.352005481719971
sp500_PE_Ratio_Value,4.323616027832031
sp500_PE_Ratio_YOY_lag21,4.293426036834717
XLF_historical_data_Close_lag21,4.151699542999268
dollar_index_historical_data_Close_lag5,4.142789363861084
hv_30_lag5,4.123977184295654
SP500_historical_data_Close_lag21,4.076115608215332
sp-500-pe-ratio-price-to-earnings-chart_ value_lag1,3.964893102645874
std_21_lag5,3.8875646591186523
global_economic_policy_uncertainty_GEPUCURRENT_lag5,3.8549904823303223
DGS2_DGS2_lag5,3.829015016555786
Stoch_K,3.78110671043396
sp500_PE_Ratio_YOY_lag1,3.7773962020874023
SP500_historical_data_Close_lag5,3.763666868209839
sp500_PE_Ratio_YOY,3.7537636756896973
ADX_lag1,3.7464475631713867
MACD_lag1,3.7218713760375977
XLF_historical_data_Close,3.716029644012451
std_21,3.7091615200042725
hv_30_lag1,3.705777645111084
CL=F_historical_data_Close_lag1,3.696077823638916
transactions_summary_daily_Nombre_Ventes_lag1,3.6815226078033447
MACD_lag21,3.675493001937866
global_economic_policy_uncertainty_GEPUCURRENT,3.6620185375213623
BAA10Y_BAA10Y_lag21,3.6447091102600098
sp500_PE_Ratio_Value_lag21,3.631011486053467
ADX,3.610344171524048
BAA10Y_BAA10Y_lag1,3.6035971641540527
SP500_historical_data_Close,3.5960540771484375
ADX_lag5,3.588840961456299
std_21_lag1,3.574345588684082
XLF_historical_data_Close_lag1,3.569817304611206
MACD_lag5,3.55332350730896
dollar_index_historical_data_Close_lag1,3.5479319095611572
sp500_PE_Ratio_YOY_lag5,3.534237861633301
BAA10Y_BAA10Y_lag5,3.533008575439453
r_sp_bond_lag1,3.5278751850128174
sp500_PE_Ratio_Value_lag1,3.495490789413452
XLF_historical_data_Close_lag5,3.419347047805786
XLE_historical_data_Close,3.409396171569824
MACD_Hist_lag1,3.403087854385376
DGS2_DGS2,3.402304172515869
sp500_PE_Ratio_Value_lag5,3.3878014087677
Stoch_D_lag1,3.3871676921844482
ATR_lag21,3.3668761253356934
^VIX_historical_data_Close_lag5,3.3634531497955322
dollar_index_historical_data_Close_lag21,3.3254332542419434
ADX_lag21,3.3236796855926514
sp-500-pe-ratio-price-to-earnings-chart_ value_lag5,3.2986366748809814
MACD_Hist_lag5,3.2764408588409424
MACD,3.263542652130127
XLE_historical_data_Close_lag1,3.2412569522857666
BAA10Y_BAA10Y,3.2260754108428955
CL=F_historical_data_Close_lag21,3.2070810794830322
transactions_summary_daily_Nombre_Ventes_lag21,3.188213586807251
SP500_historical_data_Volume_lag1,3.1763699054718018
DGS2_DGS2_lag21,3.1666669845581055
^VIX_historical_data_Close_lag21,3.1652863025665283
XLE_historical_data_Close_lag21,3.1338491439819336
DI_Plus_lag1,3.1256396770477295
DI_Plus_lag21,3.1159262657165527
DGS2_DGS2_lag1,3.097095012664795
global_economic_policy_uncertainty_GEPUCURRENT_lag1,3.094115734100342
MACD_Hist,3.0936567783355713
r_sp_bond_lag21,3.085542678833008
r_sp_bond_lag5,3.0689687728881836
transactions_summary_daily_Nombre_Ventes_lag5,3.06882381439209
DI_Plus_lag5,3.0683467388153076
DI_Minus,3.0655951499938965
std_21_lag21,3.0635664463043213
Stoch_K_lag21,3.049600124359131
transactions_summary_daily_Nombre_Achats_lag1,3.049344301223755
dollar_index_historical_data_Close,3.033271551132202
DI_Plus,2.9944908618927
Stoch_D,2.9890007972717285
RSI_lag1,2.9823906421661377
ATR,2.9785218238830566
CL=F_historical_data_Close_lag5,2.969212293624878
DI_Minus_lag21,2.934526205062866
ATR_lag5,2.915985345840454
DI_Minus_lag5,2.8937859535217285
hv_30_lag21,2.8910114765167236
MACD_Hist_lag21,2.8847057819366455
Stoch_D_lag21,2.8723537921905518
transactions_summary_daily_Somme_Achats_lag1,2.8237311840057373
RSI_lag21,2.8177738189697266
SP500_historical_data_Volume_lag5,2.79569673538208
Stoch_D_lag5,2.7926547527313232
transactions_summary_daily_Somme_Ventes_lag21,2.7760612964630127
hv_30,2.7754716873168945
DI_Minus_lag1,2.750006675720215
r_sp_bond,2.748156785964966
transactions_summary_daily_Somme_Achats_lag5,2.7031681537628174
