,precision,recall,f1-score,support
0,0.2255083179297597,0.991869918699187,0.3674698795180723,123.0
1,0.7333333333333333,0.048458149779735685,0.09090909090909091,227.0
2,1.0,0.03286384976525822,0.06363636363636363,213.0
accuracy,0.24866785079928952,0.24866785079928952,0.24866785079928952,0.24866785079928952
macro avg,0.6529472170876977,0.357730639414727,0.17400511135450894,563.0
weighted avg,0.7232756479076858,0.24866785079928952,0.14101190812012787,563.0
