,precision,recall,f1-score,support
0,0.0,0.0,0.0,123.0
1,0.0,0.0,0.0,227.0
2,0.3783303730017762,1.0,0.5489690721649485,213.0
accuracy,0.3783303730017762,0.3783303730017762,0.3783303730017762,0.3783303730017762
macro avg,0.1261101243339254,0.3333333333333333,0.1829896907216495,563.0
weighted avg,0.14313387113566312,0.3783303730017762,0.20769167383860396,563.0
