,precision,recall,f1-score,support
0,0.24150268336314848,1.0,0.38904899135446686,135.0
1,0.0,0.0,0.0,200.0
2,0.25,0.0043859649122807015,0.008620689655172414,228.0
accuracy,0.24156305506216696,0.24156305506216696,0.24156305506216696,0.24156305506216696
macro avg,0.16383422778771617,0.33479532163742687,0.13255656033654642,563.0
weighted avg,0.1591525084440942,0.24156305506216696,0.096779984146061,563.0
