fold,test_start,test_end,n_train,n_test,accuracy,balanced_accuracy,f1_macro,f1_class0,f1_class2
1,2008-12-18,2011-10-03,699,699,0.4449213161659514,0.4048091514581634,0.3551284672433625,0.059574468085106386,0.5695364238410596
2,2011-10-04,2014-07-24,1398,699,0.351931330472103,0.3884944333849443,0.35154660154660156,0.2967032967032967,0.3333333333333333
3,2014-07-25,2017-05-11,2097,699,0.26609442060085836,0.3565276934981935,0.2655665300887354,0.2740740740740741,0.3644859813084112
4,2017-05-12,2020-03-03,2796,699,0.29756795422031473,0.3333333333333333,0.15288496876148475,0.0,0.45865490628445427
5,2020-03-04,2022-12-19,3495,699,0.38197424892703863,0.3567275395006488,0.3487878370443262,0.18075801749271136,0.47592067988668557
