fold,test_start,test_end,n_train,n_test,accuracy,balanced_accuracy,f1_macro,f1_class0,f1_class2
1,2008-12-18,2011-10-03,699,699,0.402002861230329,0.38906067604888017,0.32734633803186264,0.05660377358490566,0.4510166358595194
2,2011-10-04,2014-07-24,1398,699,0.2932761087267525,0.3675782491412997,0.27544649685145517,0.319634703196347,0.18705035971223022
3,2014-07-25,2017-05-11,2097,699,0.19742489270386265,0.3393472199442349,0.12778134967159588,0.32116788321167883,0.06217616580310881
4,2017-05-12,2020-03-03,2796,699,0.20743919885550788,0.3002450980392157,0.1969699412583504,0.23668639053254437,0.3542234332425068
5,2020-03-04,2022-12-19,3495,699,0.3676680972818312,0.34840148180484315,0.33086099682149284,0.26903553299492383,0.4783861671469741
