,precision,recall,f1-score,support
0,0.19911504424778761,0.3515625,0.2542372881355932,128.0
1,0.6,0.049586776859504134,0.0916030534351145,242.0
2,0.36990595611285265,0.6051282051282051,0.4591439688715953,195.0
accuracy,0.30973451327433627,0.30973451327433627,0.30973451327433627,0.30973451327433627
macro avg,0.3896736667868801,0.33542582732923637,0.2683281034807677,565.0
weighted avg,0.42976705682428856,0.30973451327433627,0.25529802786303496,565.0
