date_prediction,y_true,y_pred,signal_filtered,trade_return,cumulative_return
2023-01-03,2,2,1,0.0,1.0
2023-01-04,2,2,1,0.0,1.0
2023-01-05,2,2,1,0.0,1.0
2023-01-06,2,2,1,0.0,1.0
2023-01-09,2,2,1,0.0,1.0
2023-01-10,2,0,1,0.0,1.0
2023-01-11,1,0,0,-0.007426417121830696,0.9925735828781693
2023-01-12,0,0,0,-0.001958251588838389,0.9906298740824592
2023-01-13,0,0,0,0.017561489970283155,1.008026810680421
2023-01-17,1,0,0,0.004600351146720199,1.0126640879748596
2023-01-18,2,0,0,-0.02314919561530444,0.9892217289097357
2023-01-19,2,2,1,0.0,0.9892217289097357
2023-01-20,2,2,1,0.0,0.9892217289097357
2023-01-23,2,0,0,-0.010104923480161909,0.9792257190341893
2023-01-24,2,0,0,-0.013345973455864241,0.9661569985806595
2023-01-25,1,0,0,-0.00038594719398639686,0.965784112998107
2023-01-26,1,0,0,-0.003982377799360623,0.9619379957875281
2023-01-27,2,0,0,-0.011951648334248385,0.950441251142524
2023-01-30,2,2,1,0.0,0.950441251142524
2023-01-31,2,0,1,0.0,0.950441251142524
2023-02-01,1,0,0,0.001973650988805072,0.9523170904576426
2023-02-02,1,0,0,0.0037704955568525216,0.9559077978159278
2023-02-03,1,0,0,0.004501440179915956,0.9602107595853114
2023-02-06,1,0,0,0.007195208452006368,0.9671196761583871
2023-02-07,0,0,0,0.0176609123589097,0.9841998919995976
2023-02-08,1,2,1,0.0,0.9841998919995976
2023-02-09,2,2,1,0.0,0.9841998919995976
2023-02-10,2,2,2,0.01396912260831761,0.9979483009620329
2023-02-13,0,2,2,-0.011331119285934308,0.9866404297226367
2023-02-14,0,2,2,-0.013790619863970248,0.9730340466139076
2023-02-15,0,0,1,0.0,0.9730340466139076
2023-02-16,0,2,2,-0.022753177852230223,0.9508944298950261
2023-02-17,0,2,2,-0.021583254393880567,0.9303710335128778
2023-02-21,1,2,2,-0.006829553710185087,0.9240170145691011
2023-02-22,1,2,2,-0.0022074537993671266,0.9219772896996107
2023-02-23,0,2,1,0.0,0.9219772896996107
2023-02-24,1,2,1,0.0,0.9219772896996107
2023-02-27,1,2,1,0.0,0.9219772896996107
2023-02-28,2,2,1,0.0,0.9219772896996107
2023-03-01,2,0,0,-0.024555923848245398,0.8993372855839354
2023-03-02,1,2,1,0.0,0.8993372855839354
2023-03-03,0,2,1,0.0,0.8993372855839354
2023-03-06,0,2,1,0.0,0.8993372855839354
2023-03-07,0,2,1,0.0,0.8993372855839354
2023-03-08,0,2,1,0.0,0.8993372855839354
2023-03-09,1,2,1,0.0,0.8993372855839354
2023-03-10,1,2,1,0.0,0.8993372855839354
2023-03-13,2,2,1,0.0,0.8993372855839354
2023-03-14,1,2,1,0.0,0.8993372855839354
2023-03-15,2,2,1,0.0,0.8993372855839354
2023-03-16,2,2,1,0.0,0.8993372855839354
2023-03-17,1,2,1,0.0,0.8993372855839354
2023-03-20,1,2,1,0.0,0.8993372855839354
2023-03-21,1,2,1,0.0,0.8993372855839354
2023-03-22,2,2,1,0.0,0.8993372855839354
2023-03-23,1,2,1,0.0,0.8993372855839354
2023-03-24,2,2,1,0.0,0.8993372855839354
2023-03-27,2,2,1,0.0,0.8993372855839354
2023-03-28,2,2,1,0.0,0.8993372855839354
2023-03-29,2,0,1,0.0,0.8993372855839354
2023-03-30,2,0,0,-0.012286375525849496,0.888287689968853
2023-03-31,1,0,0,0.004606655499665097,0.8923797253411329
2023-04-03,1,0,0,0.004725348514430456,0.8965965305505815
2023-04-04,1,0,0,-0.0010778719625759807,0.8956301142885581
2023-04-05,1,0,0,-0.004579032022784024,0.8915289953146611
2023-04-06,1,0,0,-0.0009549093198935516,0.8906776659680798
2023-04-10,2,0,0,-0.009031238588706471,0.8826337434610899
2023-04-11,1,0,0,-0.006984817427795647,0.8764687079074024
2023-04-12,2,2,1,0.0,0.8764687079074024
2023-04-13,1,2,1,0.0,0.8764687079074024
2023-04-14,1,2,1,0.0,0.8764687079074024
2023-04-17,1,2,1,0.0,0.8764687079074024
2023-04-18,1,2,1,0.0,0.8764687079074024
2023-04-19,1,2,1,0.0,0.8764687079074024
2023-04-20,0,2,1,0.0,0.8764687079074024
2023-04-21,0,0,1,0.0,0.8764687079074024
2023-04-24,1,2,1,0.0,0.8764687079074024
2023-04-25,2,2,2,0.024032169050851825,0.8975321520636147
2023-04-26,2,2,2,0.027583925804180797,0.9222896123530041
2023-04-27,1,2,2,-0.0038134666131865867,0.9187724917086071
2023-04-28,0,2,2,-0.018882445973490165,0.9014238197719904
2023-05-01,0,2,1,0.0,0.9014238197719904
2023-05-02,1,2,1,0.0,0.9014238197719904
2023-05-03,2,2,2,0.011579812305200757,0.9118621384123871
2023-05-04,2,2,1,0.0,0.9118621384123871
2023-05-05,1,2,1,0.0,0.9118621384123871
2023-05-08,1,2,1,0.0,0.9118621384123871
2023-05-09,1,2,1,0.0,0.9118621384123871
2023-05-10,1,2,1,0.0,0.9118621384123871
2023-05-11,1,2,1,0.0,0.9118621384123871
2023-05-12,2,2,1,0.0,0.9118621384123871
2023-05-15,2,0,0,-0.014933714047323954,0.8982446499867551
2023-05-16,2,2,1,0.0,0.8982446499867551
2023-05-17,2,2,1,0.0,0.8982446499867551
2023-05-18,0,2,1,0.0,0.8982446499867551
2023-05-19,0,2,1,0.0,0.8982446499867551
2023-05-22,0,2,1,0.0,0.8982446499867551
2023-05-23,2,2,1,0.0,0.8982446499867551
2023-05-24,2,2,1,0.0,0.8982446499867551
2023-05-25,1,2,1,0.0,0.8982446499867551
2023-05-26,1,2,2,-0.006092122364463339,0.8927724336658113
2023-05-30,2,2,1,0.0,0.8927724336658113
2023-05-31,2,2,1,0.0,0.8927724336658113
2023-06-01,2,2,1,0.0,0.8927724336658113
2023-06-02,1,2,2,-0.0034677286759143993,0.8896765410965225
2023-06-05,1,2,1,0.0,0.8896765410965225
2023-06-06,1,2,2,0.003503802720177356,0.8927937921812944
2023-06-07,2,2,1,0.0,0.8927937921812944
2023-06-08,2,2,2,0.01748505140284211,0.9084043375297227
2023-06-09,2,2,2,0.017151054654866816,0.9239844299714131
2023-06-12,2,1,1,0.0,0.9239844299714131
2023-06-13,2,0,0,-0.009288163749204827,0.9154023112841229
2023-06-14,1,0,0,-0.008461804404747973,0.9076563559743824
2023-06-15,0,0,0,0.008389341712157385,0.9152709953018632
2023-06-16,1,1,1,0.0,0.9152709953018632
2023-06-20,0,0,1,0.0,0.9152709953018632
2023-06-21,0,2,2,-0.008445427339629991,0.9075411406149705
2023-06-22,1,2,2,-0.0007941733727162501,0.9068203956064496
2023-06-23,1,2,2,0.006561090037707543,0.912770125870053
2023-06-26,2,2,2,0.015620912843075846,0.9270284284520324
2023-06-27,2,2,2,0.016437410839586643,0.9422663755904748
2023-06-28,2,2,2,0.01798777729422838,0.9592156533064359
2023-06-29,2,2,2,0.013454045348525847,0.9721209842050366
2023-06-30,0,1,1,0.0,0.9721209842050366
2023-07-03,0,1,1,0.0,0.9721209842050366
2023-07-05,0,1,1,0.0,0.9721209842050366
2023-07-06,1,2,2,0.006272097555533321,0.9782182218537515
2023-07-07,2,2,2,0.016642598276177843,0.9944983147465004
2023-07-10,2,2,2,0.022793871184314602,1.01716678122585
2023-07-11,2,2,2,0.014903420782515385,1.0323260457724557
2023-07-12,2,1,1,0.0,1.0323260457724557
2023-07-13,2,0,1,0.0,1.0323260457724557
2023-07-14,2,1,1,0.0,1.0323260457724557
2023-07-17,1,1,1,0.0,1.0323260457724557
2023-07-18,1,1,1,0.0,1.0323260457724557
2023-07-19,1,1,1,0.0,1.0323260457724557
2023-07-20,1,1,1,0.0,1.0323260457724557
2023-07-21,1,1,1,0.0,1.0323260457724557
2023-07-24,1,1,1,0.0,1.0323260457724557
2023-07-25,1,2,1,0.0,1.0323260457724557
2023-07-26,1,1,1,0.0,1.0323260457724557
2023-07-27,2,2,1,0.0,1.0323260457724557
2023-07-28,0,1,1,0.0,1.0323260457724557
2023-07-31,0,2,1,0.0,1.0323260457724557
2023-08-01,0,1,1,0.0,1.0323260457724557
2023-08-02,1,2,2,0.0011188495863491263,1.0334810633417457
2023-08-03,1,2,2,-0.0005575999924510874,1.032904794308628
2023-08-04,1,2,1,0.0,1.032904794308628
2023-08-07,0,2,2,-0.010979422970001939,1.0215640956841707
2023-08-08,1,2,2,-0.007852210536825279,1.0135425593279972
