date_prediction,y_true,y_pred,trade_return,cumulative_return
2023-01-03,2,0,-0.041585829432003736,0.9584141705679963
2023-01-04,2,0,-0.03792402180617947,0.9220672506640242
2023-01-05,2,0,-0.05015361606485148,0.8758222437882476
2023-01-06,1,0,-0.024618208266538166,0.8542610693862017
2023-01-09,1,0,-0.009447371129885139,0.8461905480218977
2023-01-10,1,0,0.00520505258499713,0.8505950143212793
2023-01-11,1,0,-0.0007557417274787212,0.8499521841757713
2023-01-12,1,0,-0.009198738049694443,0.8421336966787728
2023-01-13,1,0,-0.004465981733027282,0.8383727429726386
2023-01-17,2,0,-0.017404280525133247,0.8237814685693174
2023-01-18,2,0,-0.036066428250828904,0.7940706133387997
2023-01-19,2,0,-0.03050128086393662,0.7698504425355545
2023-01-20,2,0,-0.026176742097115065,0.7496982660479513
2023-01-23,2,0,-0.02472751221945125,0.7311600930133492
2023-01-24,2,0,-0.040530705244566985,0.7015256587968349
2023-01-25,2,0,-0.02994358143798855,0.6805194681018133
2023-01-26,1,2,0.012474084601161855,0.6890083255196531
2023-01-27,2,2,0.02295505779578905,0.7048245514537366
2023-01-30,2,0,-0.02491179018795043,0.6872661101086048
2023-01-31,1,2,0.0012019580597486344,0.688092175148842
2023-02-01,1,2,-0.006979493706957517,0.683289640142584
2023-02-02,1,0,0.01016080563093068,0.6902324133657013
2023-02-03,1,2,-8.463661323227934e-05,0.6901739944318909
2023-02-06,1,2,0.008883315050361709,0.696305027463996
2023-02-07,0,2,-0.017672931770082854,0.6839992762224592
2023-02-08,1,2,-0.009415030301621758,0.6775594023105374
2023-02-09,0,0,0.0005904476563457062,0.6779594656716665
2023-02-10,0,0,0.022765134956982364,0.6933933044030457
2023-02-13,0,0,0.03534680644906216,0.7179025433268558
2023-02-14,0,0,0.02993373466525098,0.7393920475743108
2023-02-15,0,0,0.042810313051657674,0.7710456525988733
2023-02-16,0,0,0.02644476328760363,0.7914357723657863
2023-02-17,0,0,0.02670698199833337,0.8125726332911966
2023-02-21,1,0,0.004000157575487362,0.81582305186589
2023-02-22,1,0,-0.013678065441957809,0.8046641707734106
2023-02-23,1,0,-0.00899725168993961,0.7974244047030856
2023-02-24,1,0,-0.004113328320199069,0.7941443363160026
2023-02-27,1,0,-0.002453397975814859,0.79219598420878
2023-02-28,1,0,0.013054880863258494,0.8025380084029774
2023-03-01,0,0,0.022726131090270413,0.8207765923868681
2023-03-02,0,0,0.031544597890187466,0.84666765995139
2023-03-03,0,0,0.031231117170714688,0.8731100368439867
2023-03-06,0,0,0.038654584567378,0.9068597425997991
2023-03-07,1,0,0.006544823266192933,0.9127949793423399
2023-03-08,0,0,0.01888024253524481,0.930028769937277
2023-03-09,1,0,-0.008485779471793376,0.922136750893166
2023-03-10,2,0,-0.03658597263855329,0.8883994809559842
2023-03-13,2,0,-0.021061985375598207,0.8696880240804002
2023-03-14,1,0,-0.007508995595453477,0.8631575405381618
2023-03-15,2,0,-0.020313844283528146,0.8456234926675166
2023-03-16,1,0,-0.004355752591329416,0.841940165948041
2023-03-17,1,0,-0.013948212869058218,0.8301966052903875
2023-03-20,2,0,-0.019293594423349946,0.8141791286962728
2023-03-21,1,0,-0.011981393233712431,0.8044241283926815
2023-03-22,2,0,-0.04377480376357706,0.7692106200296054
2023-03-23,2,0,-0.04451817202184969,0.7349667693260937
2023-03-24,2,0,-0.032639243045340736,0.7109780103118105
2023-03-27,2,0,-0.028371841993503177,0.6908062545423885
2023-03-28,2,0,-0.03367940214143062,0.66754031289384
2023-03-29,2,0,-0.019169215979478613,0.6547440884609692
2023-03-30,1,0,-0.01438712165957498,0.6453242056043937
2023-03-31,1,0,9.006796328886852e-05,0.6453823286412536
2023-04-03,1,0,0.007894226539233593,0.6504771229479658
2023-04-04,1,0,-0.011125229503256062,0.643240415668552
2023-04-05,1,0,-0.011554001158873872,0.635808415160483
2023-04-06,1,0,-0.011278825551936517,0.6286372429614348
2023-04-10,1,0,-0.011051093244252807,0.621690114172658
2023-04-11,1,0,-0.005074325240469256,0.6185354563345614
2023-04-12,1,0,-0.01015898748895253,0.612251762372185
2023-04-13,1,0,0.0022141071398919785,0.6136073533706647
2023-04-14,0,0,0.015953599570067433,0.6233965993795892
2023-04-17,0,2,-0.02296374117653424,0.6090810812211047
2023-04-18,1,2,-0.004698105832599028,0.6062195538408941
2023-04-19,1,2,0.003600887916575238,0.6084024825071114
2023-04-20,1,0,-0.009220826667896299,0.6027925086715955
2023-04-21,1,0,0.0033724141507438057,0.604825374657802
2023-04-24,1,0,0.011189168735478289,0.611592867830347
2023-04-25,1,0,0.0025566941026045073,0.6131565237087239
2023-04-26,2,0,-0.019788019684187433,0.6010233703480877
2023-04-27,1,0,-0.0006698391831008299,0.6006207813446692
2023-04-28,1,0,0.012066266975598702,0.6078680320434666
2023-05-01,1,0,0.007253100413107246,0.6122769599177958
2023-05-02,1,2,0.0026798942739631854,0.6139177974367591
2023-05-03,1,0,-0.008147669284361059,0.608915798255461
2023-05-04,2,0,-0.01848208543112472,0.5976617644517421
2023-05-05,1,0,0.00637052829404654,0.6014691856324517
2023-05-08,1,0,-0.004990165040879683,0.5984677551291422
2023-05-09,2,0,-0.0191494607672302,0.5870074203318443
2023-05-10,1,0,-0.01313305216366468,0.579298221260168
2023-05-11,2,0,-0.015012217019661895,0.5706016706435062
2023-05-12,1,0,-0.0052132838336579794,0.5676269621784822
2023-05-15,1,0,0.005086587918146649,0.5705142466263136
2023-05-16,1,0,-0.010068343218992346,0.564770113379955
2023-05-17,1,0,-0.011224514835401139,0.5584308428637305
2023-05-18,1,0,-0.0017628163002584673,0.5574464318713632
2023-05-19,1,0,-0.0032299865756958944,0.5556458873797492
2023-05-22,1,0,0.003052929794726749,0.5573422352646482
2023-05-23,2,0,-0.018197680417349614,0.5471998993842109
2023-05-24,2,0,-0.040612424377184084,0.5249767848512669
2023-05-25,2,0,-0.029511442313358515,0.5094839627492762
2023-05-26,1,0,-0.01864245174776686,0.49998593255746177
2023-05-30,2,0,-0.021022407654560222,0.4894750244616934
2023-05-31,2,0,-0.02847718278768995,0.47553615472008876
2023-06-01,2,0,-0.027934043360233595,0.462252507154779
2023-06-02,2,0,-0.02023170488925457,0.4529003508457055
2023-06-05,2,0,-0.02311760844226516,0.44243037787149
2023-06-06,2,0,-0.03314535823077339,0.427765864504763
2023-06-07,2,2,0.03329095670753412,0.442006599380952
2023-06-08,2,2,0.026935619172639796,0.4539123208136709
2023-06-09,2,0,-0.020900913384896636,0.44442513871200695
2023-06-12,1,2,0.006167364889706192,0.4471660707086022
2023-06-13,1,2,0.0029481213786912708,0.4484843705614836
2023-06-14,1,2,-0.00554814571956158,0.4459961139206627
2023-06-15,1,2,-0.021921267591338157,0.4362193137627109
2023-06-16,1,0,0.007070881556975874,0.4393037688631923
2023-06-20,1,0,-0.001761333179351581,0.43853000855927937
2023-06-21,2,0,-0.01939898218675836,0.4300229727348789
2023-06-22,2,2,0.016819159023105466,0.43725559749689535
2023-06-23,2,0,-0.024666886758341586,0.42646986318898844
2023-06-26,2,0,-0.027259161801980573,0.4148446521846513
2023-06-27,1,0,-0.007578021774099296,0.41170095037752735
2023-06-28,1,2,0.005047073180608824,0.413778835202609
2023-06-29,1,2,0.0029773734941123905,0.4150108093389659
2023-06-30,1,2,-0.002498689433332697,0.41397382621495177
2023-07-03,1,2,0.003718994135702081,0.4155133924469793
2023-07-05,1,0,-0.01317797886415272,0.4100377657435406
2023-07-06,2,0,-0.025206376669408614,0.3997021993715262
2023-07-07,2,0,-0.03546977761251186,0.38552485124858626
2023-07-10,2,0,-0.03542110775921779,0.3718691339486537
2023-07-11,2,0,-0.02153745367704093,0.3638600197023132
2023-07-12,1,0,-0.014350936741455166,0.35863828757682065
2023-07-13,1,0,-0.009889069114677084,0.35509168876380404
2023-07-14,1,0,-0.013770090277551994,0.3502020441527181
2023-07-17,1,2,0.009719655468820343,0.3536058873663591
2023-07-18,1,0,0.0038572780328535936,0.3549698435879851
2023-07-19,1,0,-0.0036160265737100153,0.3536862632007053
2023-07-20,1,0,-0.011927539786640285,0.34946765622439074
2023-07-21,1,0,-0.008903684051449106,0.3463561066271683
2023-07-24,1,0,0.00905669795236936,0.3494929492688492
2023-07-25,1,0,0.014355861853092497,0.3545102217671827
2023-07-26,0,0,0.01942742975721246,0.3613974441987785
2023-07-27,1,0,0.004180846383838523,0.3629083913964854
2023-07-28,0,0,0.01808073754686897,0.36947004277488166
2023-07-31,0,0,0.026422108937997634,0.37923222049440625
2023-08-01,0,0,0.023575763220512053,0.38817290953037137
2023-08-02,1,0,0.010931989155965273,0.3924164115679969
2023-08-03,1,0,0.002703291618722214,0.3934772275644377
2023-08-04,1,0,0.008970445441911765,0.3970068935669392
2023-08-07,0,0,0.025254261373613876,0.4070330094242052
2023-08-08,0,0,0.028675066985142265,0.41870470823460837
2023-08-09,0,0,0.021935175035273726,0.42788906929782766
2023-08-10,0,0,0.015453722201656351,0.4345015481078816
2023-08-11,0,0,0.017136905578354157,0.4419475601114551
2023-08-14,1,0,0.011962983582178342,0.4472345715172522
2023-08-15,1,0,0.013869253780805849,0.45343738128917493
2023-08-16,1,0,-0.000313301407483846,0.45329531871941126
2023-08-17,1,0,-0.01440389287879768,0.4467661015061164
2023-08-18,2,0,-0.029274236280788624,0.4336873650883796
2023-08-21,2,0,-0.02616048046722968,0.42234189524510074
2023-08-22,2,0,-0.02737526795346652,0.4107801726947912
2023-08-23,2,0,-0.017980179963605736,0.40339427126425786
2023-08-24,2,0,-0.0318670201768823,0.390539297882641
2023-08-25,1,0,-0.020682277770302966,0.38246205564361313
2023-08-28,1,0,-0.00725641145099703,0.379686753603469
2023-08-29,1,0,0.010336498846071922,0.38361138529396005
2023-08-30,1,0,0.012709088262376041,0.3884867362481133
2023-08-31,1,0,0.004481303960879094,0.39022766339801096
2023-09-01,1,0,0.011929331421774193,0.39488281852463036
2023-09-05,1,0,-0.0018390776141353046,0.3941565983728751
2023-09-06,1,0,0.003394966793336426,0.39549474693572545
2023-09-07,1,0,-0.0005368620991702991,0.3952824207956747
2023-09-08,1,0,0.00303759253538746,0.3964831277264535
2023-09-11,0,0,0.018999560189320978,0.40401613277574244
2023-09-12,0,0,0.029561376371187872,0.415959405736758
2023-09-13,0,0,0.03298978492055746,0.4296818170676965
2023-09-14,0,0,0.03721563397386534,0.44567269829691325
2023-09-15,0,0,0.03972524358820331,0.46337715479737
2023-09-18,0,0,0.04019733293980186,0.48200368056545795
2023-09-19,0,0,0.03245985973293661,0.4976494524273719
2023-09-20,0,0,0.025930304293418617,0.5105536541602669
2023-09-21,1,0,0.009609668194284065,0.5154599053721263
2023-09-22,0,0,0.020974213796172314,0.526271271630756
2023-09-25,0,0,0.01698927072229589,0.5352122367378579
2023-09-26,1,2,-0.0035895020091545097,0.5332910913387633
2023-09-27,1,2,0.00795184389291718,0.5375317388465726
2023-09-28,1,0,-0.0020466089001027277,0.5364316216057614
2023-09-29,2,0,-0.016368846651634277,0.5276508546526092
2023-10-02,1,0,-0.02065111983060186,0.5167542736244587
2023-10-03,2,2,0.02841023358116924,0.5314353832421971
2023-10-04,2,2,0.01501724659190853,0.5394160794400106
2023-10-05,2,2,0.02711009677697149,0.5540397015566838
2023-10-06,1,0,-0.015016872533944528,0.5457197579796624
2023-10-10,0,0,0.01841115451647584,0.5557670887665198
2023-10-11,0,0,0.03490787700214882,0.5751677379430239
2023-10-12,0,0,0.030478555177530852,0.5926980195802559
2023-10-13,0,0,0.01850824518607249,0.6036678198479469
2023-10-16,0,0,0.04272420581713425,0.6294590480283113
2023-10-17,0,0,0.053958246662633755,0.6634235546058496
2023-10-18,0,0,0.0457122273222698,0.6937501229449404
2023-10-19,0,0,0.02598882089323282,0.7117798706348147
2023-10-20,1,0,0.007187310717274607,0.7168956537273687
2023-10-23,1,2,0.004937070557997003,0.7204350181525421
2023-10-24,2,0,-0.016503033767627528,0.7085456547205893
2023-10-25,2,2,0.04097904193886411,0.7375811768209842
2023-10-26,2,2,0.05529061741307466,0.7783624954796787
2023-10-27,2,2,0.06339234953288363,0.827704722856414
2023-10-30,2,2,0.051828485523246974,0.8706034051025008
2023-10-31,2,2,0.03661364397917219,0.9024793682239788
2023-11-01,2,0,-0.04185612002668007,0.8647050834659935
2023-11-02,2,0,-0.021717184339417786,0.8459261237691309
2023-11-03,2,0,-0.03151666838451783,0.8192653506484986
2023-11-06,2,0,-0.03135605361366129,0.7935764223897492
2023-11-07,2,0,-0.029659452820042374,0.7700393799307825
2023-11-08,2,0,-0.029944519416533078,0.7469809207669501
2023-11-09,2,0,-0.046011887854187396,0.7126109184114036
2023-11-10,2,0,-0.027846663036366844,0.6927670822903653
2023-11-13,2,0,-0.03288420598716924,0.6699859868551987
2023-11-14,1,0,-0.013550708283109924,0.6609072021935525
2023-11-15,1,0,-0.012538633587142257,0.6526203289501442
2023-11-16,1,0,-0.009358405766523886,0.6465128431003464
2023-11-17,1,2,0.009054039860404536,0.6523663961520403
2023-11-20,1,2,0.0007037448805620166,0.6528254956635829
2023-11-21,1,2,0.00652459761789406,0.65708491933749
2023-11-22,1,2,0.008341657774284882,0.662566096863247
2023-11-24,1,2,0.0017196200107780133,0.6637054587818761
2023-11-27,1,2,-0.00023961075967126648,0.6635464278126995
2023-11-28,1,2,0.006739944567217475,0.6680186939539322
2023-11-29,1,2,0.01182047961776851,0.675914995310103
2023-11-30,1,2,0.011962025275862135,0.6840003075683366
2023-12-01,1,2,0.010679927165311236,0.691305381034217
2023-12-04,2,2,0.030047412577684,0.7120773190353251
2023-12-05,2,2,0.03336186071971335,0.7358335433746485
2023-12-06,2,2,0.037335108716838206,0.7633059687140373
2023-12-07,2,0,-0.03379504493952267,0.7375100091987405
2023-12-08,2,0,-0.03561833558683952,0.7112411301924466
2023-12-11,2,0,-0.01642209681731558,0.6995610594919693
2023-12-12,2,0,-0.022191313037719745,0.6840368810317842
2023-12-13,1,0,-0.010099666809126858,0.6771283364482088
2023-12-14,1,0,-0.0074329288971923015,0.6720952896691151
2023-12-15,1,0,-0.011773219404937516,0.6641825643628156
2023-12-18,1,0,-0.008652990158175165,0.6584353991701527
2023-12-19,1,0,-0.0031415305650781896,0.6563669042385303
2023-12-20,1,0,-0.015213847198063731,0.6463810384515791
2023-12-21,1,0,-0.0048622906462316325,0.6432381459744145
2023-12-22,1,2,-0.0024817504155591765,0.641641789438339
2023-12-26,0,2,-0.018026037848840253,0.630075530256526
2023-12-27,1,2,-0.01763848819260435,0.6189619504556473
2023-12-28,1,2,-0.00414146114946856,0.6163985435848359
2023-12-29,1,2,-0.0027946651991091467,0.6146759160262979
2024-01-02,1,2,0.007887728557374227,0.6195243128026686
2024-01-03,2,0,-0.016795581234339732,0.6091190418803428
2024-01-04,2,0,-0.02029353651273424,0.5967578623633424
2024-01-05,1,0,-0.014634070787077019,0.5880248655627724
2024-01-08,1,0,0.005107562427414453,0.5910282392725063
2024-01-09,2,0,-0.005138219574529591,0.5879914064043764
