,precision,recall,f1-score,support
0,0.24086021505376345,0.875,0.3777403035413153,128.0
1,0.6031746031746031,0.15702479338842976,0.24918032786885247,242.0
2,0.5945945945945946,0.11282051282051282,0.1896551724137931,195.0
accuracy,0.30442477876106194,0.30442477876106194,0.30442477876106194,0.30442477876106194
macro avg,0.47954313760765377,0.3816151020696475,0.272191934607987,565.0
weighted avg,0.5181315175948347,0.30442477876106194,0.2577613395013103,565.0
