accuracy,balanced_accuracy,f1_macro,loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_loss,learning_rate
0.32575756311416626,0.3227645456790924,0.3200724422931671,1.7109029293060303,0.3782051205635071,0.33507204055786133,0.24333332479000092,1.0704442262649536,0.00800000037997961
0.4469696879386902,0.43807610869407654,0.4348644018173218,1.3284448385238647,0.36538460850715637,0.36441564559936523,0.3521040380001068,1.0718631744384766,0.00800000037997961
0.46212121844291687,0.4581676423549652,0.45236071944236755,1.152559757232666,0.30128204822540283,0.2991194427013397,0.27094224095344543,1.0589247941970825,0.00800000037997961
0.5772727131843567,0.5586887001991272,0.5581812262535095,0.9863024950027466,0.29487180709838867,0.28845593333244324,0.28441688418388367,1.047661542892456,0.00800000037997961
0.5651515126228333,0.5521833300590515,0.5483313798904419,0.9634981751441956,0.29487180709838867,0.3042429983615875,0.27791035175323486,1.0381619930267334,0.00800000037997961
0.6000000238418579,0.6004085540771484,0.595473051071167,0.8527194857597351,0.31410256028175354,0.32908153533935547,0.29246190190315247,1.0165143013000488,0.00800000037997961
0.6136363744735718,0.6151373982429504,0.608191728591919,0.8312991857528687,0.31410256028175354,0.31430262327194214,0.2932891845703125,0.9824890494346619,0.00800000037997961
0.6651515364646912,0.6625322699546814,0.6553901433944702,0.7627318501472473,0.3076923191547394,0.3130607008934021,0.2884596288204193,0.9558398127555847,0.00800000037997961
0.6833333373069763,0.681155264377594,0.675118625164032,0.7113862037658691,0.3205128312110901,0.326132595539093,0.3079911768436432,0.9292606711387634,0.00800000037997961
0.7363636493682861,0.728635847568512,0.7265549302101135,0.639566957950592,0.32692307233810425,0.3412086069583893,0.3264583647251129,0.919722318649292,0.00800000037997961
0.7151514887809753,0.7199696898460388,0.7101636528968811,0.6093147993087769,0.3076923191547394,0.3122108280658722,0.3124246895313263,0.8945803642272949,0.00800000037997961
