fold,test_start,test_end,n_train,n_test,accuracy,balanced_accuracy,f1_macro,f1_class0,f1_class2
1,2008-12-18,2011-10-03,699,699,0.46494992846924177,0.3333333333333333,0.21158854166666666,0.0,0.634765625
2,2011-10-04,2014-07-24,1398,699,0.3104434907010014,0.3372880938300808,0.24370305336064776,0.382089552238806,0.34901960784313724
3,2014-07-25,2017-05-11,2097,699,0.37052932761087265,0.3333333333333333,0.1802366040361865,0.0,0.5407098121085595
4,2017-05-12,2020-03-03,2796,699,0.41917024320457796,0.3333333333333333,0.19690860215053763,0.0,0.5907258064516129
5,2020-03-04,2022-12-19,3495,699,0.34763948497854075,0.3277252391030621,0.24065047855370436,0.45409429280397023,0.26785714285714285
