feature,importance
^VIX_historical_data_Close,10
r_sp_bond,8
Stoch_K,6
sp-500-pe-ratio-price-to-earnings-chart_ value,6
XLF_historical_data_Close,6
RSI,6
DI_Minus,5
transactions_summary_daily_Somme_Ventes,5
DI_Plus,5
MACD_Hist,5
sp500_PE_Ratio_Value,4
std_21,4
hv_30,4
dollar_index_historical_data_Close,4
Stoch_D,3
CL=F_historical_data_Close,3
MACD,3
SP500_historical_data_Volume,2
global_economic_policy_uncertainty_GEPUCURRENT,2
MACD_Signal,2
transactions_summary_daily_Somme_Achats,2
adp_payroll_2000_aujourdhui_PAYEMS,2
ATR,2
SP500_historical_data_Close,2
BAA10Y_BAA10Y,1
XLE_historical_data_Close,1
ADX,1
XLV_historical_data_Close,1
PSAR,1
OBV,1
