,precision,recall,f1-score,support
0,0.25287356321839083,0.3963963963963964,0.3087719298245614,111.0
1,0.3333333333333333,0.16831683168316833,0.2236842105263158,202.0
2,0.2964824120603015,0.36419753086419754,0.3268698060941828,162.0
accuracy,0.28842105263157897,0.28842105263157897,0.28842105263157897,0.28842105263157897
macro avg,0.2942297695373419,0.3096369196479207,0.2864419821483533,475.0
weighted avg,0.30196305179861804,0.28842105263157897,0.2787595859454731,475.0
