accuracy,balanced_accuracy,f1_macro,loss,val_accuracy,val_balanced_accuracy,val_f1_macro,val_loss
0.23700305819511414,0.30007869005203247,0.18964119255542755,3.3159871101379395,0.2800000011920929,0.31355252861976624,0.19001035392284393,3.1250760555267334
0.2844036817550659,0.3345285654067993,0.26976194977760315,2.9123053550720215,0.2800000011920929,0.30352845788002014,0.20980048179626465,2.839503765106201
0.26605504751205444,0.3099431097507477,0.25247320532798767,2.6778836250305176,0.273333340883255,0.28575244545936584,0.21516817808151245,2.5907015800476074
0.35321101546287537,0.3849703371524811,0.35051465034484863,2.425229549407959,0.25999999046325684,0.26824378967285156,0.20631881058216095,2.3808586597442627
0.38532111048698425,0.4192841053009033,0.3722778260707855,2.1908087730407715,0.2800000011920929,0.28748998045921326,0.22263282537460327,2.2010385990142822
0.35321101546287537,0.38417601585388184,0.34419122338294983,2.0367114543914795,0.2666666805744171,0.2699812948703766,0.212513729929924,2.0316836833953857
0.37003058195114136,0.39759591221809387,0.36037805676460266,1.8541145324707031,0.2666666805744171,0.2699812948703766,0.21256773173809052,1.8854146003723145
0.3593272268772125,0.37932705879211426,0.35356852412223816,1.7089341878890991,0.2666666805744171,0.2699812948703766,0.212513729929924,1.7547117471694946
0.38837921619415283,0.42181071639060974,0.37955641746520996,1.5699108839035034,0.273333340883255,0.2757284343242645,0.21776306629180908,1.6375669240951538
0.3822630047798157,0.410297155380249,0.3758894205093384,1.4554858207702637,0.2666666805744171,0.26597166061401367,0.21195924282073975,1.524170160293579
0.3975535035133362,0.4282256066799164,0.3918362557888031,1.3468453884124756,0.273333340883255,0.2737236022949219,0.21756432950496674,1.4238574504852295
0.38837921619415283,0.41074347496032715,0.37801888585090637,1.2410244941711426,0.2800000011920929,0.2914995849132538,0.22109968960285187,1.3587830066680908
0.4097859263420105,0.436849445104599,0.40169405937194824,1.162103533744812,0.273333340883255,0.2877572774887085,0.2138088196516037,1.282270073890686
0.37461772561073303,0.3952432870864868,0.3647540509700775,1.0995787382125854,0.30000001192092896,0.30673617124557495,0.23880404233932495,1.20545494556427
0.3914373219013214,0.40522119402885437,0.3834044933319092,1.027097463607788,0.30666667222976685,0.31448808312416077,0.24395732581615448,1.1512881517410278
0.411314994096756,0.4346178472042084,0.40022432804107666,0.9606113433837891,0.2933333218097687,0.3070034682750702,0.23068983852863312,1.1071580648422241
0.39908257126808167,0.4175744354724884,0.38828906416893005,0.9162485003471375,0.31333333253860474,0.3362736999988556,0.2394181489944458,1.0707809925079346
0.4373088777065277,0.4521756172180176,0.42494091391563416,0.8709343671798706,0.3400000035762787,0.3632718324661255,0.26148077845573425,1.02211332321167
0.4204893112182617,0.43155407905578613,0.4098909795284271,0.8223804235458374,0.30000001192092896,0.32277464866638184,0.22791217267513275,0.9926024079322815
0.4357798099517822,0.4585905373096466,0.4275873005390167,0.79655921459198,0.30000001192092896,0.31676021218299866,0.23394769430160522,0.9623231887817383
0.4587155878543854,0.4783875048160553,0.4489617347717285,0.7593078017234802,0.2933333218097687,0.30900827050209045,0.2293645292520523,0.9433939456939697
0.4082568883895874,0.4290199279785156,0.39901235699653625,0.7380526065826416,0.2866666615009308,0.31128039956092834,0.2139866203069687,0.937982976436615
0.43119266629219055,0.4514116048812866,0.4233929216861725,0.7173084616661072,0.2933333218097687,0.3170275390148163,0.2212454080581665,0.9139354228973389
0.42966359853744507,0.44442930817604065,0.41957637667655945,0.69705730676651,0.2800000011920929,0.3015236556529999,0.21234430372714996,0.8859719038009644
0.44342508912086487,0.452886700630188,0.43530502915382385,0.6803261041641235,0.25999999046325684,0.2923015356063843,0.1737561970949173,0.9038653373718262
0.4525993764400482,0.45808371901512146,0.4424642026424408,0.6575870513916016,0.25999999046325684,0.2902967035770416,0.17865495383739471,0.8808286786079407
0.428134560585022,0.44088903069496155,0.41992390155792236,0.648284912109375,0.2800000011920929,0.31756213307380676,0.1782994121313095,0.9296106696128845
0.4357798099517822,0.45546627044677734,0.42562589049339294,0.6281776428222656,0.273333340883255,0.3078053891658783,0.1814633458852768,0.9321072101593018
0.4510703384876251,0.46253934502601624,0.4415247440338135,0.6236235499382019,0.2800000011920929,0.3115476965904236,0.1948680281639099,0.9012478590011597
0.4373088777065277,0.44407376646995544,0.42222118377685547,0.6054131984710693,0.2866666615009308,0.3233092725276947,0.1883838176727295,0.9566189646720886
0.4082568883895874,0.42414820194244385,0.3969380855560303,0.6022048592567444,0.2800000011920929,0.31756213307380676,0.17856402695178986,1.0308512449264526
0.44495412707328796,0.460345596075058,0.43198880553245544,0.5995846390724182,0.2933333218097687,0.32905641198158264,0.19739346206188202,0.9902833104133606
0.4556574821472168,0.46346983313560486,0.44182077050209045,0.583420991897583,0.30666667222976685,0.3485698997974396,0.19222114980220795,0.960908830165863
0.4556574821472168,0.4637875258922577,0.44449296593666077,0.5768072009086609,0.2866666615009308,0.3293237090110779,0.16794973611831665,0.9725387692451477
0.47400611639022827,0.48551347851753235,0.4621483385562897,0.5657117366790771,0.2933333218097687,0.3350708484649658,0.17840147018432617,0.9726698994636536
0.4571865499019623,0.46542152762413025,0.4452892243862152,0.5645867586135864,0.2933333218097687,0.3350708484649658,0.17805074155330658,0.9715646505355835
0.46177369356155396,0.4712236821651459,0.4488300383090973,0.5701828002929688,0.2933333218097687,0.3370756208896637,0.17105042934417725,0.9815458059310913
0.466360867023468,0.48067960143089294,0.45530804991722107,0.5527296662330627,0.30666667222976685,0.3266233503818512,0.25425949692726135,0.8458624482154846
